'sample interval','MLII','V1'
'0.004 sec','mV','mV'
0,-0.100,0.060
1,-0.135,0.015
2,-0.150,-0.010
3,-0.150,-0.030
4,-0.145,-0.035
5,-0.150,-0.035
6,-0.175,-0.050
7,-0.195,-0.065
8,-0.195,-0.080
9,-0.200,-0.085
10,-0.205,-0.100
11,-0.195,-0.095
12,-0.190,-0.090
13,-0.195,-0.080
14,-0.195,-0.080
15,-0.205,-0.075
16,-0.210,-0.100
17,-0.205,-0.085
18,-0.205,-0.095
19,-0.210,-0.090
20,-0.210,-0.075
21,-0.205,-0.060
22,-0.185,-0.065
23,-0.175,-0.060
24,-0.180,-0.075
25,-0.185,-0.080
26,-0.190,-0.075
27,-0.200,-0.080
28,-0.185,-0.075
29,-0.185,-0.065
30,-0.160,-0.060
31,-0.155,-0.055
32,-0.150,-0.060
33,-0.160,-0.075
34,-0.170,-0.095
35,-0.165,-0.090
36,-0.155,-0.085
37,-0.140,-0.075
38,-0.135,-0.075
39,-0.140,-0.080
40,-0.150,-0.090
41,-0.160,-0.105
42,-0.180,-0.110
43,-0.195,-0.100
44,-0.185,-0.100
45,-0.185,-0.105
46,-0.170,-0.090
47,-0.165,-0.100
48,-0.170,-0.100
49,-0.180,-0.105
50,-0.180,-0.110
51,-0.200,-0.115
52,-0.195,-0.115
53,-0.175,-0.105
54,-0.190,-0.100
55,-0.175,-0.105
56,-0.180,-0.115
57,-0.180,-0.120
58,-0.185,-0.125
59,-0.195,-0.130
60,-0.200,-0.140
61,-0.200,-0.135
62,-0.205,-0.140
63,-0.195,-0.140
64,-0.190,-0.145
65,-0.190,-0.140
66,-0.200,-0.135
67,-0.210,-0.140
68,-0.220,-0.150
69,-0.225,-0.150
70,-0.205,-0.155
71,-0.195,-0.135
72,-0.185,-0.135
73,-0.180,-0.130
74,-0.190,-0.145
75,-0.200,-0.150
76,-0.230,-0.155
77,-0.235,-0.150
78,-0.230,-0.135
79,-0.215,-0.120
80,-0.190,-0.125
81,-0.185,-0.125
82,-0.200,-0.135
83,-0.230,-0.145
84,-0.240,-0.160
85,-0.245,-0.155
86,-0.235,-0.135
87,-0.220,-0.135
88,-0.205,-0.130
89,-0.200,-0.125
90,-0.205,-0.120
91,-0.225,-0.135
92,-0.235,-0.140
93,-0.220,-0.135
94,-0.225,-0.145
95,-0.205,-0.135
96,-0.210,-0.140
97,-0.200,-0.130
98,-0.195,-0.130
99,-0.200,-0.135
100,-0.200,-0.145
101,-0.215,-0.130
102,-0.210,-0.130
103,-0.215,-0.120
104,-0.210,-0.110
105,-0.185,-0.095
106,-0.175,-0.100
107,-0.155,-0.095
108,-0.140,-0.090
109,-0.120,-0.080
110,-0.115,-0.060
111,-0.105,-0.040
112,-0.090,-0.020
113,-0.060,-0.005
114,-0.030,0.010
115,-0.020,0.025
116,-0.020,0.030
117,-0.025,0.020
118,-0.040,0.000
119,-0.065,-0.005
120,-0.065,-0.015
121,-0.060,-0.025
122,-0.060,-0.045
123,-0.070,-0.065
124,-0.105,-0.085
125,-0.110,-0.100
126,-0.155,-0.100
127,-0.160,-0.105
128,-0.155,-0.100
129,-0.165,-0.095
130,-0.165,-0.095
131,-0.175,-0.110
132,-0.185,-0.125
133,-0.190,-0.135
134,-0.200,-0.140
135,-0.185,-0.125
136,-0.155,-0.105
137,-0.130,-0.105
138,-0.105,-0.065
139,-0.095,-0.055
140,-0.100,-0.035
141,-0.100,-0.030
142,-0.085,-0.010
143,-0.070,0.020
144,-0.040,0.060
145,0.000,0.110
146,0.040,0.155
147,0.085,0.180
148,0.130,0.195
149,0.195,0.200
150,0.215,0.195
151,0.315,0.240
152,0.365,0.285
153,0.405,0.345
154,0.445,0.430
155,0.520,0.535
156,0.665,0.680
157,0.870,0.850
158,1.155,1.045
159,1.440,1.170
160,1.670,1.120
161,1.760,0.895
162,1.650,0.530
163,1.345,0.195
164,0.855,-0.050
165,0.190,-0.215
166,-0.510,-0.350
167,-0.965,-0.465
168,-1.070,-0.500
169,-0.875,-0.470
170,-0.555,-0.360
171,-0.295,-0.240
172,-0.160,-0.135
173,-0.135,-0.075
174,-0.195,-0.075
175,-0.215,-0.070
176,-0.290,-0.090
177,-0.285,-0.090
178,-0.265,-0.060
179,-0.240,-0.055
180,-0.225,-0.050
181,-0.225,-0.055
182,-0.225,-0.065
183,-0.240,-0.070
184,-0.245,-0.070
185,-0.245,-0.075
186,-0.235,-0.070
187,-0.225,-0.070
188,-0.215,-0.050
189,-0.210,-0.045
190,-0.205,-0.055
191,-0.215,-0.055
192,-0.225,-0.065
193,-0.225,-0.065
194,-0.235,-0.055
195,-0.210,-0.045
196,-0.220,-0.025
197,-0.205,-0.015
198,-0.205,-0.010
199,-0.210,-0.025
200,-0.215,-0.035
201,-0.220,-0.060
202,-0.205,-0.040
203,-0.195,-0.020
204,-0.195,0.005
205,-0.170,0.025
206,-0.170,0.030
207,-0.150,0.040
208,-0.165,0.035
209,-0.165,0.045
210,-0.165,0.065
211,-0.155,0.100
212,-0.140,0.120
213,-0.115,0.150
214,-0.095,0.155
215,-0.095,0.150
216,-0.105,0.155
217,-0.110,0.145
218,-0.115,0.160
219,-0.125,0.175
220,-0.115,0.205
221,-0.110,0.220
222,-0.100,0.235
223,-0.085,0.240
224,-0.080,0.225
225,-0.080,0.220
226,-0.080,0.195
227,-0.060,0.190
228,-0.050,0.190
229,-0.035,0.185
230,-0.045,0.175
231,-0.060,0.145
232,-0.090,0.100
233,-0.125,0.080
234,-0.130,0.050
235,-0.120,0.025
236,-0.120,0.015
237,-0.120,0.020
238,-0.135,0.005
239,-0.155,-0.010
240,-0.180,-0.025
241,-0.180,-0.045
242,-0.185,-0.060
243,-0.180,-0.070
244,-0.185,-0.070
245,-0.180,-0.065
246,-0.185,-0.065
247,-0.190,-0.055
248,-0.190,-0.060
249,-0.190,-0.055
250,-0.195,-0.060
251,-0.205,-0.080
252,-0.205,-0.065
253,-0.210,-0.065
254,-0.205,-0.070
255,-0.190,-0.065
256,-0.175,-0.065
257,-0.170,-0.070
258,-0.185,-0.075
259,-0.190,-0.080
260,-0.195,-0.075
261,-0.195,-0.075
262,-0.185,-0.055
263,-0.170,-0.050
264,-0.170,-0.040
265,-0.165,-0.050
266,-0.170,-0.065
267,-0.180,-0.085
268,-0.190,-0.075
269,-0.180,-0.075
270,-0.175,-0.070
271,-0.165,-0.060
272,-0.155,-0.060
273,-0.160,-0.070
274,-0.175,-0.075
275,-0.185,-0.080
276,-0.185,-0.110
277,-0.190,-0.110
278,-0.185,-0.110
279,-0.170,-0.095
280,-0.170,-0.095
281,-0.180,-0.090
282,-0.185,-0.100
283,-0.190,-0.120
284,-0.195,-0.125
285,-0.210,-0.130
286,-0.215,-0.120
287,-0.205,-0.120
288,-0.200,-0.115
289,-0.200,-0.110
290,-0.190,-0.115
291,-0.210,-0.145
292,-0.210,-0.145
293,-0.215,-0.155
294,-0.225,-0.140
295,-0.230,-0.130
296,-0.230,-0.120
297,-0.215,-0.125
298,-0.235,-0.125
299,-0.225,-0.135
300,-0.230,-0.140
301,-0.240,-0.165
302,-0.250,-0.155
303,-0.250,-0.135
304,-0.245,-0.135
305,-0.230,-0.125
306,-0.220,-0.125
307,-0.220,-0.135
308,-0.240,-0.155
309,-0.250,-0.165
310,-0.255,-0.180
311,-0.260,-0.170
312,-0.245,-0.155
313,-0.245,-0.150
314,-0.250,-0.140
315,-0.235,-0.140
316,-0.250,-0.155
317,-0.255,-0.165
318,-0.260,-0.175
319,-0.260,-0.175
320,-0.250,-0.165
321,-0.245,-0.145
322,-0.250,-0.135
323,-0.240,-0.130
324,-0.250,-0.155
325,-0.260,-0.155
326,-0.270,-0.170
327,-0.260,-0.180
328,-0.255,-0.160
329,-0.250,-0.160
330,-0.265,-0.155
331,-0.260,-0.150
332,-0.250,-0.165
333,-0.255,-0.150
334,-0.260,-0.160
335,-0.260,-0.165
336,-0.270,-0.155
337,-0.265,-0.155
338,-0.260,-0.135
339,-0.275,-0.130
340,-0.260,-0.135
341,-0.255,-0.150
342,-0.255,-0.155
343,-0.270,-0.165
344,-0.270,-0.155
345,-0.275,-0.130
346,-0.270,-0.125
347,-0.250,-0.130
348,-0.240,-0.125
349,-0.220,-0.115
350,-0.220,-0.120
351,-0.225,-0.095
352,-0.220,-0.075
353,-0.195,-0.065
354,-0.160,-0.040
355,-0.135,-0.050
356,-0.120,-0.025
357,-0.110,-0.025
358,-0.125,-0.030
359,-0.140,-0.020
360,-0.160,-0.030
361,-0.170,-0.040
362,-0.160,-0.050
363,-0.160,-0.060
364,-0.170,-0.090
365,-0.195,-0.100
366,-0.225,-0.120
367,-0.250,-0.140
368,-0.260,-0.135
369,-0.265,-0.140
370,-0.280,-0.135
371,-0.295,-0.135
372,-0.315,-0.145
373,-0.325,-0.140
374,-0.330,-0.160
375,-0.330,-0.160
376,-0.310,-0.175
377,-0.325,-0.175
378,-0.320,-0.165
379,-0.320,-0.160
380,-0.310,-0.165
381,-0.305,-0.160
382,-0.305,-0.155
383,-0.300,-0.165
384,-0.310,-0.170
385,-0.315,-0.165
386,-0.325,-0.155
387,-0.315,-0.155
388,-0.315,-0.150
389,-0.305,-0.150
390,-0.290,-0.140
391,-0.290,-0.145
392,-0.295,-0.155
393,-0.280,-0.120
394,-0.265,-0.090
395,-0.230,-0.020
396,-0.135,0.080
397,0.045,0.200
398,0.290,0.330
399,0.595,0.440
400,0.700,0.475
401,1.200,0.285
402,1.320,-0.065
