'sample interval','MLII','V5'
'0.004 sec','mV','mV'
0,-0.930,-0.570
1,-0.920,-0.555
2,-0.910,-0.545
3,-0.900,-0.545
4,-0.885,-0.535
5,-0.895,-0.550
6,-0.915,-0.550
7,-0.940,-0.550
8,-0.940,-0.575
9,-0.930,-0.570
10,-0.950,-0.565
11,-0.935,-0.550
12,-0.915,-0.550
13,-0.905,-0.545
14,-0.915,-0.555
15,-0.920,-0.570
16,-0.930,-0.565
17,-0.920,-0.550
18,-0.925,-0.550
19,-0.910,-0.545
20,-0.890,-0.540
21,-0.900,-0.545
22,-0.905,-0.540
23,-0.930,-0.560
24,-0.935,-0.570
25,-0.930,-0.560
26,-0.905,-0.545
27,-0.900,-0.530
28,-0.905,-0.525
29,-0.905,-0.535
30,-0.915,-0.555
31,-0.900,-0.550
32,-0.915,-0.580
33,-0.915,-0.565
34,-0.925,-0.545
35,-0.915,-0.540
36,-0.890,-0.525
37,-0.870,-0.540
38,-0.850,-0.550
39,-0.840,-0.535
40,-0.830,-0.555
41,-0.815,-0.550
42,-0.810,-0.535
43,-0.780,-0.520
44,-0.760,-0.510
45,-0.735,-0.490
46,-0.705,-0.495
47,-0.710,-0.505
48,-0.730,-0.535
49,-0.770,-0.550
50,-0.790,-0.545
51,-0.795,-0.500
52,-0.795,-0.475
53,-0.750,-0.440
54,-0.755,-0.450
55,-0.780,-0.465
56,-0.830,-0.490
57,-0.890,-0.515
58,-0.950,-0.530
59,-0.945,-0.545
60,-0.935,-0.540
61,-0.935,-0.535
62,-0.940,-0.535
63,-0.940,-0.555
64,-0.965,-0.580
65,-0.980,-0.565
66,-0.990,-0.565
67,-1.000,-0.560
68,-0.980,-0.545
69,-0.960,-0.540
70,-0.940,-0.525
71,-0.950,-0.530
72,-0.965,-0.540
73,-0.980,-0.550
74,-0.985,-0.570
75,-0.995,-0.570
76,-0.960,-0.560
77,-0.940,-0.545
78,-0.935,-0.540
79,-0.935,-0.545
80,-0.930,-0.550
81,-0.945,-0.565
82,-0.960,-0.570
83,-0.955,-0.555
84,-0.940,-0.550
85,-0.900,-0.525
86,-0.885,-0.510
87,-0.875,-0.510
88,-0.870,-0.510
89,-0.870,-0.475
90,-0.820,-0.425
91,-0.645,-0.295
