'sample interval','V4'
'0.004 sec','mV'
0,-2.525
1,-2.530
2,-2.535
3,-2.535
4,-2.540
5,-2.535
6,-2.535
7,-2.530
8,-2.520
9,-2.525
10,-2.530
11,-2.520
12,-2.505
13,-2.485
14,-2.465
15,-2.450
16,-2.445
17,-2.445
18,-2.445
19,-2.435
20,-2.420
21,-2.405
22,-2.400
23,-2.385
24,-2.385
25,-2.395
26,-2.385
27,-2.385
28,-2.400
29,-2.430
30,-2.455
31,-2.500
32,-2.535
33,-2.555
34,-2.570
35,-2.570
36,-2.580
37,-2.590
38,-2.585
39,-2.585
40,-2.580
41,-2.585
42,-2.585
43,-2.585
44,-2.595
45,-2.590
46,-2.585
47,-2.575
48,-2.570
49,-2.570
50,-2.570
51,-2.585
52,-2.580
53,-2.555
54,-2.470
55,-2.285
56,-1.960
57,-1.535
58,-1.165
59,-1.005
60,-1.140
61,-1.555
62,-2.110
63,-2.590
64,-2.850
65,-2.855
66,-2.755
67,-2.655
68,-2.570
69,-2.550
70,-2.535
71,-2.540
72,-2.555
73,-2.570
74,-2.570
75,-2.570
76,-2.565
77,-2.555
78,-2.555
79,-2.555
80,-2.550
81,-2.545
82,-2.540
83,-2.550
84,-2.540
85,-2.535
86,-2.535
87,-2.525
88,-2.530
89,-2.525
90,-2.520
91,-2.520
92,-2.520
93,-2.515
94,-2.505
95,-2.500
96,-2.495
97,-2.490
98,-2.490
99,-2.480
100,-2.480
101,-2.470
102,-2.460
103,-2.450
104,-2.440
105,-2.440
106,-2.435
107,-2.420
108,-2.400
109,-2.390
110,-2.370
111,-2.340
112,-2.340
113,-2.320
114,-2.305
115,-2.280
116,-2.260
117,-2.250
118,-2.230
119,-2.215
120,-2.190
121,-2.165
122,-2.140
123,-2.120
124,-2.110
125,-2.115
126,-2.115
127,-2.145
128,-2.180
129,-2.230
130,-2.280
131,-2.325
132,-2.365
133,-2.400
134,-2.425
135,-2.445
136,-2.460
137,-2.475
138,-2.490
139,-2.500
140,-2.495
141,-2.495
142,-2.505
143,-2.505
144,-2.495
145,-2.495
146,-2.490
147,-2.495
148,-2.490
149,-2.495
150,-2.495
151,-2.495
152,-2.495
153,-2.505
154,-2.495
155,-2.495
156,-2.480
157,-2.480
158,-2.490
159,-2.480
160,-2.480
161,-2.485
162,-2.490
163,-2.495
164,-2.485
165,-2.480
166,-2.480
167,-2.485
168,-2.485
169,-2.485
170,-2.495
171,-2.495
172,-2.495
173,-2.495
174,-2.495
175,-2.490
176,-2.485
177,-2.485
178,-2.490
179,-2.490
180,-2.490
181,-2.485
182,-2.480
183,-2.455
184,-2.435
185,-2.400
186,-2.400
187,-2.400
188,-2.395
189,-2.400
190,-2.385
191,-2.365
192,-2.340
193,-2.335
194,-2.325
195,-2.315
196,-2.335
197,-2.335
198,-2.350
199,-2.385
200,-2.420
201,-2.445
202,-2.485
203,-2.505
204,-2.520
205,-2.535
206,-2.535
207,-2.540
208,-2.535
209,-2.535
210,-2.535
211,-2.535
212,-2.535
213,-2.535
214,-2.535
215,-2.540
216,-2.540
217,-2.535
218,-2.535
219,-2.530
220,-2.525
221,-2.530
222,-2.530
223,-2.510
224,-2.450
225,-2.290
226,-1.975
227,-1.550
228,-1.130
229,-0.880
230,-0.960
231,-1.350
232,-1.910
233,-2.415
234,-2.680
235,-2.705
236,-2.620
237,-2.535
238,-2.490
239,-2.490
240,-2.495
241,-2.515
242,-2.535
243,-2.525
244,-2.525
245,-2.525
246,-2.520
247,-2.535
248,-2.520
