'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.035,-0.015
1,-0.145,-0.055
2,-0.175,-0.075
3,-0.175,-0.085
4,-0.175,-0.095
5,-0.160,-0.090
6,-0.145,-0.085
7,-0.145,-0.080
8,-0.145,-0.075
9,-0.140,-0.075
10,-0.135,-0.075
11,-0.125,-0.080
12,-0.110,-0.085
13,-0.085,-0.070
14,-0.100,-0.055
15,-0.205,-0.045
16,-0.345,-0.015
17,-0.545,0.040
18,-0.630,0.110
19,-0.545,0.195
20,-0.215,0.280
21,0.390,0.365
22,1.155,0.390
23,2.070,0.360
24,2.700,0.180
25,3.105,-0.125
26,3.135,-0.435
27,2.920,-0.755
28,2.185,-0.845
29,1.175,-0.810
30,0.590,-0.665
31,0.180,-0.475
32,-0.025,-0.310
33,-0.165,-0.160
34,-0.215,-0.095
35,-0.240,-0.055
36,-0.245,-0.045
37,-0.250,-0.050
38,-0.255,-0.055
39,-0.255,-0.050
40,-0.255,-0.050
41,-0.255,-0.060
42,-0.260,-0.065
43,-0.265,-0.065
44,-0.265,-0.060
45,-0.265,-0.055
46,-0.265,-0.045
47,-0.265,-0.035
48,-0.265,-0.050
49,-0.265,-0.065
50,-0.270,-0.060
51,-0.275,-0.055
52,-0.265,-0.055
53,-0.255,-0.055
54,-0.255,-0.045
55,-0.255,-0.035
56,-0.245,-0.040
57,-0.235,-0.045
58,-0.235,-0.045
59,-0.235,-0.045
60,-0.225,-0.050
61,-0.215,-0.055
62,-0.210,-0.050
63,-0.205,-0.050
64,-0.205,-0.060
65,-0.205,-0.070
66,-0.205,-0.080
67,-0.205,-0.085
68,-0.200,-0.085
69,-0.195,-0.085
70,-0.190,-0.085
71,-0.180,-0.085
72,-0.170,-0.090
73,-0.160,-0.100
74,-0.150,-0.110
75,-0.135,-0.115
76,-0.120,-0.115
77,-0.105,-0.115
78,-0.090,-0.115
79,-0.085,-0.115
80,-0.080,-0.120
81,-0.060,-0.130
82,-0.040,-0.140
83,-0.030,-0.140
84,-0.015,-0.125
85,0.010,-0.120
86,0.035,-0.115
87,0.040,-0.115
88,0.045,-0.115
89,0.070,-0.110
90,0.095,-0.105
91,0.100,-0.105
92,0.105,-0.105
93,0.115,-0.085
94,0.125,-0.065
95,0.115,-0.050
96,0.105,-0.035
97,0.100,-0.025
98,0.095,-0.015
99,0.085,-0.005
100,0.070,0.005
101,0.055,0.015
102,0.040,0.025
103,0.025,0.025
104,0.010,0.025
105,-0.015,0.010
106,-0.025,0.005
107,-0.025,0.005
108,-0.025,0.010
109,-0.025,0.020
110,-0.025,0.025
111,-0.025,0.020
112,-0.025,0.010
113,-0.030,0.000
114,-0.035,0.000
115,-0.030,0.010
116,-0.020,0.015
117,-0.010,0.015
118,-0.005,0.010
119,-0.005,0.000
120,-0.010,-0.005
121,-0.020,-0.005
122,-0.020,-0.005
123,-0.010,0.000
124,-0.005,0.005
125,-0.005,0.005
