'sample interval','V4'
'0.004 sec','mV'
0,7.080
1,7.065
2,7.055
3,7.025
4,6.995
5,6.970
6,6.955
7,6.905
8,6.930
9,6.915
10,6.895
11,6.885
12,6.880
13,6.885
14,6.885
15,6.885
16,6.895
17,6.885
18,6.895
19,6.915
20,6.920
21,6.920
22,6.945
23,6.915
24,6.945
25,6.945
26,6.955
27,6.955
28,6.965
29,6.970
30,6.965
31,6.955
32,6.965
33,6.990
34,6.965
35,6.970
36,6.970
37,6.970
38,6.970
39,6.970
40,6.995
41,6.970
42,6.970
43,6.970
44,6.965
45,6.970
46,6.970
47,6.970
48,6.970
49,6.970
50,6.995
51,6.970
52,6.955
53,6.955
54,6.965
55,6.955
56,6.955
57,6.965
58,6.955
59,6.945
60,6.965
61,6.955
62,6.945
63,6.945
64,6.945
65,6.945
66,6.915
67,6.940
68,6.945
69,6.930
70,6.940
71,6.920
72,6.930
73,6.930
74,6.930
75,6.920
76,6.920
77,6.920
78,6.930
79,6.915
80,6.920
81,6.920
82,6.880
83,6.920
84,6.915
85,6.915
86,6.915
87,6.915
88,6.905
89,6.905
90,6.915
91,6.915
92,6.905
93,6.915
94,6.915
95,6.920
96,6.915
97,6.915
98,6.915
99,6.915
100,6.905
101,6.915
102,6.915
103,6.915
104,6.915
105,6.915
106,6.895
107,6.915
108,6.915
109,6.860
110,6.895
111,6.895
112,6.885
113,6.885
114,6.880
115,6.895
116,6.885
117,6.885
118,6.885
119,6.885
120,6.920
121,6.880
122,6.885
123,6.885
124,6.885
125,6.855
126,6.885
127,6.885
128,6.880
129,6.885
130,6.885
131,6.885
132,6.880
133,6.885
134,6.880
135,6.880
136,6.880
137,6.880
138,6.880
139,6.880
140,6.880
141,6.855
142,6.880
143,6.880
144,6.880
145,6.880
146,6.880
147,6.885
148,6.880
149,6.880
150,6.880
151,6.885
152,6.870
153,6.870
154,6.880
155,6.880
156,6.880
157,6.860
158,6.880
159,6.870
160,6.870
161,6.885
162,6.880
163,6.870
164,6.870
165,6.870
166,6.880
167,6.885
168,6.845
169,6.880
170,6.880
171,6.880
172,6.880
173,6.880
174,6.885
175,6.885
176,6.880
177,6.885
178,6.885
179,6.885
180,6.880
181,6.885
182,6.885
183,6.885
184,6.860
185,6.885
186,6.880
187,6.885
188,6.885
189,6.880
190,6.885
191,6.885
192,6.885
193,6.880
194,6.895
195,6.885
196,6.885
197,6.880
198,6.885
199,6.885
200,6.880
201,6.895
202,6.885
203,6.895
204,6.880
205,6.885
206,6.880
207,6.885
208,6.885
209,6.895
210,6.895
211,6.885
212,6.895
213,6.915
214,6.915
215,6.915
216,6.885
217,6.895
218,6.895
219,6.895
220,6.905
221,6.915
222,6.905
223,6.915
224,6.915
225,6.915
226,6.915
227,6.870
228,6.905
229,6.915
230,6.905
231,6.915
232,6.905
233,6.915
234,6.920
235,6.915
236,6.915
237,6.920
238,6.905
239,6.915
240,6.920
241,6.920
242,6.920
243,6.905
244,6.930
245,6.930
246,6.940
247,6.940
248,6.945
249,6.945
250,6.965
251,6.955
252,6.965
253,6.955
254,6.945
255,6.945
256,6.945
257,6.955
258,6.965
259,6.940
260,6.945
261,6.945
262,6.930
263,6.920
264,6.915
265,6.905
266,6.915
