'sample interval','MLII','V2'
'0.004 sec','mV','mV'
0,-0.770,-0.395
1,-0.785,-0.420
2,-0.790,-0.405
3,-0.795,-0.415
4,-0.775,-0.390
5,-0.765,-0.400
6,-0.760,-0.390
7,-0.780,-0.390
8,-0.785,-0.395
9,-0.795,-0.410
10,-0.790,-0.410
11,-0.785,-0.385
12,-0.770,-0.380
13,-0.760,-0.360
14,-0.750,-0.370
15,-0.765,-0.360
16,-0.780,-0.375
17,-0.775,-0.380
18,-0.780,-0.380
19,-0.770,-0.355
20,-0.765,-0.355
21,-0.760,-0.345
22,-0.765,-0.355
23,-0.765,-0.370
24,-0.765,-0.380
25,-0.770,-0.375
26,-0.790,-0.385
27,-0.790,-0.370
28,-0.785,-0.375
29,-0.775,-0.350
30,-0.765,-0.345
31,-0.780,-0.370
32,-0.785,-0.380
33,-0.795,-0.390
34,-0.805,-0.400
35,-0.805,-0.395
36,-0.805,-0.380
37,-0.785,-0.370
38,-0.795,-0.370
39,-0.785,-0.380
40,-0.800,-0.385
41,-0.815,-0.400
42,-0.825,-0.385
43,-0.815,-0.385
44,-0.825,-0.380
45,-0.820,-0.385
46,-0.810,-0.375
47,-0.810,-0.365
48,-0.800,-0.375
49,-0.820,-0.390
50,-0.815,-0.385
51,-0.825,-0.410
52,-0.840,-0.390
53,-0.830,-0.390
54,-0.815,-0.370
55,-0.800,-0.380
56,-0.815,-0.380
57,-0.820,-0.395
58,-0.845,-0.410
59,-0.855,-0.410
60,-0.850,-0.405
61,-0.855,-0.390
62,-0.835,-0.380
63,-0.825,-0.375
64,-0.810,-0.400
65,-0.810,-0.400
66,-0.830,-0.410
67,-0.835,-0.425
68,-0.850,-0.410
69,-0.855,-0.405
70,-0.830,-0.395
71,-0.825,-0.385
72,-0.810,-0.375
73,-0.815,-0.380
74,-0.825,-0.395
75,-0.835,-0.385
76,-0.845,-0.410
77,-0.835,-0.395
78,-0.825,-0.375
79,-0.820,-0.365
80,-0.810,-0.360
81,-0.795,-0.370
82,-0.810,-0.385
83,-0.830,-0.405
84,-0.845,-0.420
85,-0.840,-0.415
86,-0.835,-0.390
87,-0.830,-0.360
88,-0.815,-0.355
89,-0.825,-0.380
90,-0.810,-0.395
91,-0.820,-0.405
92,-0.830,-0.395
93,-0.840,-0.410
94,-0.840,-0.395
95,-0.825,-0.385
96,-0.815,-0.370
97,-0.810,-0.360
98,-0.805,-0.370
