'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.015,-0.095
1,-0.015,-0.080
2,-0.015,-0.075
3,-0.015,-0.080
4,-0.015,-0.085
5,-0.020,-0.085
6,-0.025,-0.085
7,-0.020,-0.085
8,-0.015,-0.085
9,-0.015,-0.080
10,-0.015,-0.075
11,-0.040,-0.075
12,-0.045,-0.075
13,0.000,-0.065
14,0.115,-0.055
15,0.365,-0.045
16,0.560,0.000
17,0.665,0.095
18,0.590,0.160
19,0.260,0.175
20,-0.065,0.100
21,-0.395,-0.085
22,-0.540,-0.310
23,-0.510,-0.575
24,-0.415,-0.685
25,-0.275,-0.665
26,-0.175,-0.555
27,-0.100,-0.385
28,-0.065,-0.255
29,-0.045,-0.140
30,-0.035,-0.085
31,-0.040,-0.055
32,-0.045,-0.045
33,-0.040,-0.040
34,-0.035,-0.035
35,-0.035,-0.040
36,-0.035,-0.045
37,-0.030,-0.045
38,-0.025,-0.045
39,-0.025,-0.045
40,-0.025,-0.045
41,-0.020,-0.040
42,-0.020,-0.040
43,-0.025,-0.045
44,-0.020,-0.040
45,-0.015,-0.035
46,-0.005,-0.030
47,0.005,-0.025
48,0.005,-0.025
49,0.005,-0.025
50,0.005,-0.025
51,0.005,-0.025
52,0.010,-0.020
53,0.015,-0.015
54,0.015,-0.020
55,0.015,-0.025
56,0.020,-0.015
57,0.025,-0.005
58,0.025,-0.010
59,0.025,-0.015
60,0.035,-0.010
61,0.045,-0.005
62,0.050,0.000
63,0.060,0.005
64,0.075,0.010
65,0.090,0.020
66,0.100,0.030
67,0.110,0.035
68,0.120,0.040
69,0.130,0.050
70,0.140,0.060
71,0.155,0.075
72,0.170,0.090
73,0.180,0.095
74,0.190,0.100
75,0.195,0.105
76,0.200,0.105
77,0.205,0.110
78,0.205,0.120
79,0.200,0.125
80,0.190,0.120
81,0.175,0.115
82,0.160,0.110
83,0.145,0.095
84,0.125,0.075
85,0.105,0.060
86,0.085,0.045
87,0.065,0.025
88,0.045,0.005
89,0.030,-0.015
90,0.015,-0.035
91,0.005,-0.045
92,-0.005,-0.055
93,-0.015,-0.070
94,-0.025,-0.085
95,-0.035,-0.090
96,-0.045,-0.095
97,-0.055,-0.105
98,-0.065,-0.115
99,-0.065,-0.115
100,-0.065,-0.115
101,-0.070,-0.115
102,-0.075,-0.115
103,-0.075,-0.115
104,-0.075,-0.115
105,-0.070,-0.120
106,-0.065,-0.125
107,-0.060,-0.120
108,-0.055,-0.115
109,-0.050,-0.115
110,-0.045,-0.115
111,-0.040,-0.110
112,-0.035,-0.105
113,-0.040,-0.105
114,-0.045,-0.105
115,-0.040,-0.100
116,-0.035,-0.095
117,-0.035,-0.095
118,-0.035,-0.095
119,-0.035,-0.095
120,-0.035,-0.095
121,-0.030,-0.095
122,-0.025,-0.095
123,-0.025,-0.095
124,-0.025,-0.095
125,-0.025,-0.095
126,-0.030,-0.100
127,-0.025,-0.105
128,-0.035,-0.105
129,-0.045,-0.105
130,-0.045,-0.105
131,-0.045,-0.105
132,-0.050,-0.110
133,-0.055,-0.115
134,-0.055,-0.115
135,-0.055,-0.115
136,-0.050,-0.115
137,-0.045,-0.115
138,-0.050,-0.120
139,-0.055,-0.125
140,-0.060,-0.125
141,-0.065,-0.125
142,-0.065,-0.125
143,-0.065,-0.125
144,-0.065,-0.125
145,-0.065,-0.125
146,-0.065,-0.125
147,-0.065,-0.125
148,-0.070,-0.125
149,-0.075,-0.125
150,-0.070,-0.125
151,-0.065,-0.125
152,-0.065,-0.125
153,-0.065,-0.125
154,-0.065,-0.125
155,-0.065,-0.125
156,-0.060,-0.125
157,-0.060,-0.125
158,-0.070,-0.125
159,-0.070,-0.125
160,-0.060,-0.125
161,-0.055,-0.125
162,-0.060,-0.130
163,-0.065,-0.135
164,-0.065,-0.130
165,-0.070,-0.125
166,-0.080,-0.125
167,-0.075,-0.130
168,-0.065,-0.135
169,-0.065,-0.140
170,-0.065,-0.145
171,-0.070,-0.145
172,-0.075,-0.145
173,-0.075,-0.145
174,-0.075,-0.145
175,-0.070,-0.145
176,-0.065,-0.145
177,-0.060,-0.145
178,-0.055,-0.145
179,-0.060,-0.140
180,-0.065,-0.135
181,-0.070,-0.130
182,-0.075,-0.125
183,-0.075,-0.125
184,-0.075,-0.125
185,-0.070,-0.125
186,-0.065,-0.125
187,-0.070,-0.125
188,-0.075,-0.125
189,-0.070,-0.125
190,-0.065,-0.125
191,-0.065,-0.120
192,-0.065,-0.115
193,-0.070,-0.120
194,-0.080,-0.125
195,-0.090,-0.120
196,-0.055,-0.105
