'sample interval','V4'
'0.004 sec','mV'
0,1.805
1,1.805
2,1.810
3,1.805
4,1.805
5,1.795
6,1.805
7,1.795
8,1.805
9,1.805
10,1.805
11,1.820
12,1.810
13,1.805
14,1.800
15,1.810
16,1.820
17,1.850
18,1.860
19,1.855
20,1.865
21,1.880
22,1.880
23,1.885
24,1.910
25,1.960
26,2.000
27,1.980
28,1.955
29,1.950
30,1.955
31,1.950
32,1.945
33,1.915
34,1.900
35,1.890
36,1.870
37,1.835
38,1.835
39,1.825
40,1.805
41,1.790
42,1.780
43,1.775
44,1.775
45,1.770
46,1.770
47,1.775
48,1.775
49,1.760
50,1.765
51,1.765
52,1.765
53,1.790
54,1.795
55,1.810
56,1.810
57,1.795
58,1.805
59,1.770
60,1.730
61,1.770
62,1.940
63,2.250
64,2.760
65,3.340
66,3.655
67,3.680
68,3.650
69,3.635
70,3.595
71,3.475
72,2.860
73,1.685
74,1.440
75,1.690
76,1.835
77,1.870
78,1.865
79,1.855
80,1.820
81,1.780
82,1.780
83,1.765
84,1.760
85,1.765
86,1.765
87,1.765
88,1.775
89,1.775
90,1.770
91,1.790
92,1.790
93,1.805
94,1.805
95,1.820
96,1.830
97,1.835
98,1.850
99,1.850
100,1.855
101,1.855
102,1.860
103,1.880
104,1.885
105,1.900
106,1.915
107,1.930
108,1.960
109,1.975
110,1.980
111,1.980
112,2.000
113,2.020
114,2.045
115,2.070
116,2.100
117,2.125
118,2.150
119,2.170
120,2.190
121,2.220
122,2.245
123,2.275
124,2.300
125,2.320
126,2.360
127,2.390
128,2.400
129,2.430
130,2.465
131,2.485
132,2.490
133,2.510
134,2.525
135,2.550
136,2.570
137,2.580
138,2.585
139,2.585
140,2.610
141,2.605
142,2.585
143,2.560
144,2.520
145,2.480
146,2.425
147,2.345
148,2.290
149,2.240
150,2.190
151,2.140
152,2.100
153,2.075
154,2.060
155,2.035
156,2.015
157,2.000
158,1.985
159,1.970
160,1.955
161,1.960
162,1.975
163,1.960
164,1.960
165,1.955
166,1.950
167,1.940
168,1.930
169,1.925
170,1.925
171,1.925
172,1.910
173,1.900
174,1.895
175,1.900
176,1.910
177,1.900
178,1.890
179,1.880
180,1.885
181,1.890
182,1.890
183,1.885
184,1.880
185,1.885
186,1.880
187,1.880
188,1.880
189,1.880
190,1.885
191,1.880
192,1.870
193,1.870
194,1.865
195,1.860
196,1.860
197,1.855
198,1.850
199,1.855
200,1.850
201,1.850
202,1.835
203,1.835
204,1.825
205,1.825
206,1.820
207,1.825
208,1.825
209,1.820
210,1.820
211,1.810
212,1.805
213,1.795
214,1.800
215,1.795
216,1.800
217,1.805
218,1.805
219,1.795
220,1.805
221,1.805
222,1.805
223,1.795
224,1.800
225,1.790
226,1.805
227,1.795
228,1.805
229,1.805
230,1.805
231,1.795
232,1.790
233,1.805
234,1.820
235,1.835
236,1.850
237,1.855
238,1.870
239,1.870
240,1.880
241,1.885
242,1.925
243,1.975
244,1.975
245,1.955
246,1.945
247,1.940
248,1.940
249,1.940
250,1.920
251,1.900
252,1.885
253,1.880
254,1.850
255,1.835
256,1.825
257,1.780
258,1.790
259,1.780
260,1.775
261,1.770
262,1.770
263,1.770
264,1.765
265,1.760
266,1.765
267,1.770
268,1.765
269,1.750
270,1.765
271,1.780
272,1.790
273,1.795
274,1.805
275,1.800
276,1.790
277,1.770
278,1.760
279,1.855
280,2.125
281,2.540
282,3.080
283,3.560
284,3.700
285,3.670
286,3.655
287,3.635
288,3.590
289,3.340
290,2.370
291,1.450
292,1.490
293,1.740
294,1.850
295,1.885
296,1.870
297,1.830
298,1.795
299,1.765
300,1.750
301,1.750
302,1.760
303,1.750
304,1.760
305,1.750
306,1.745
307,1.750
308,1.765
309,1.780
310,1.790
311,1.790
312,1.790
313,1.790
314,1.800
315,1.805
316,1.810
317,1.820
318,1.850
319,1.850
320,1.855
321,1.860
322,1.880
323,1.880
324,1.880
325,1.890
326,1.915
327,1.930
328,1.945
329,1.960
330,1.985
331,1.990
332,2.015
333,2.040
334,2.060
335,2.080
336,2.100
337,2.120
338,2.150
339,2.170
340,2.195
341,2.225
342,2.260
343,2.275
344,2.305
345,2.330
346,2.365
347,2.390
348,2.410
349,2.430
350,2.455
351,2.455
352,2.485
353,2.500
354,2.500
355,2.520
356,2.550
357,2.560
358,2.555
359,2.530
360,2.500
361,2.455
362,2.420
363,2.360
364,2.310
365,2.250
366,2.190
367,2.120
368,2.095
369,2.050
370,2.020
371,1.985
372,1.960
373,1.955
374,1.940
375,1.915
376,1.900
377,1.890
378,1.890
379,1.880
380,1.890
381,1.860
382,1.855
383,1.850
384,1.860
385,1.880
386,1.865
387,1.865
388,1.860
389,1.855
390,1.855
391,1.855
392,1.860
393,1.835
394,1.850
395,1.850
396,1.855
397,1.855
398,1.850
399,1.850
400,1.850
401,1.855
402,1.855
403,1.860
404,1.850
405,1.855
406,1.860
407,1.850
408,1.855
409,1.855
410,1.860
411,1.855
412,1.850
413,1.835
414,1.835
415,1.835
416,1.825
417,1.830
418,1.820
419,1.820
420,1.810
421,1.810
422,1.810
423,1.805
424,1.810
425,1.805
426,1.800
427,1.805
428,1.805
429,1.805
430,1.805
431,1.805
432,1.810
433,1.805
434,1.805
435,1.795
436,1.805
437,1.805
438,1.800
439,1.805
440,1.810
441,1.810
442,1.820
443,1.830
444,1.850
445,1.855
446,1.870
447,1.870
448,1.870
449,1.880
450,1.860
451,1.880
452,1.925
453,1.985
454,1.975
455,1.940
456,1.945
457,1.950
458,1.955
459,1.940
460,1.900
461,1.890
462,1.870
463,1.840
464,1.835
465,1.835
466,1.805
467,1.795
468,1.780
469,1.775
470,1.770
471,1.760
472,1.765
473,1.760
474,1.750
475,1.750
476,1.765
477,1.765
478,1.750
479,1.770
480,1.775
481,1.780
482,1.790
483,1.795
484,1.795
485,1.805
486,1.780
487,1.765
488,1.805
489,2.000
490,2.365
491,2.860
492,3.395
493,3.640
494,3.635
495,3.610
496,3.605
497,3.570
498,3.440
499,2.680
500,1.555
501,1.420
502,1.710
503,1.840
504,1.900
505,1.890
506,1.855
507,1.820
508,1.790
509,1.770
510,1.750
511,1.760
512,1.765
513,1.765
514,1.765
515,1.770
516,1.775
517,1.775
518,1.775
519,1.770
520,1.775
521,1.780
522,1.795
523,1.795
524,1.805
525,1.805
526,1.830
527,1.840
528,1.850
529,1.840
530,1.855
531,1.870
532,1.885
533,1.890
534,1.910
535,1.910
536,1.925
537,1.940
538,1.955
539,1.975
540,2.000
541,2.010
542,2.030
543,2.040
544,2.065
545,2.075
546,2.105
547,2.135
548,2.165
549,2.190
550,2.210
551,2.240
552,2.260
553,2.285
554,2.315
555,2.335
556,2.350
557,2.395
558,2.405
559,2.410
560,2.425
561,2.440
562,2.465
563,2.460
564,2.485
565,2.500
566,2.525
567,2.540
568,2.510
569,2.480
570,2.455
571,2.420
572,2.350
573,2.300
574,2.240
575,2.215
576,2.160
577,2.120
578,2.075
579,2.050
580,2.030
581,2.010
582,2.000
583,1.980
584,1.975
585,1.970
586,1.960
587,1.955
588,1.955
589,1.950
590,1.930
591,1.930
592,1.925
593,1.930
594,1.920
595,1.920
596,1.920
597,1.925
598,1.930
599,1.925
600,1.925
601,1.930
602,1.930
603,1.940
604,1.945
605,1.930
606,1.925
607,1.925
608,1.925
609,1.925
610,1.940
611,1.925
612,1.925
613,1.940
614,1.940
615,1.930
616,1.930
617,1.925
618,1.925
619,1.920
620,1.925
621,1.925
622,1.915
623,1.910
624,1.910
625,1.900
626,1.900
627,1.890
628,1.900
629,1.900
630,1.895
631,1.885
632,1.885
633,1.880
634,1.880
635,1.865
636,1.865
637,1.870
638,1.880
639,1.880
640,1.870
641,1.865
642,1.865
643,1.865
644,1.860
645,1.860
646,1.850
647,1.850
648,1.855
649,1.855
650,1.865
651,1.860
652,1.850
653,1.855
654,1.860
655,1.865
656,1.870
657,1.860
658,1.885
659,1.890
660,1.900
661,1.915
662,1.940
663,1.940
664,1.945
665,1.960
666,1.955
667,1.975
668,2.005
669,2.060
670,2.070
671,2.040
672,2.020
673,2.015
674,2.020
675,2.020
676,2.020
677,2.000
678,1.985
679,1.960
680,1.945
681,1.920
682,1.915
683,1.900
684,1.870
685,1.865
686,1.865
687,1.870
688,1.860
689,1.850
690,1.840
691,1.840
692,1.850
693,1.855
694,1.855
695,1.855
696,1.865
697,1.870
698,1.880
699,1.880
700,1.880
701,1.885
702,1.865
703,1.850
704,1.840
705,2.000
706,2.320
707,2.765
708,3.305
709,3.610
710,3.665
711,3.635
712,3.610
713,3.590
714,3.520
715,3.085
716,1.945
717,1.480
718,1.750
719,1.915
720,2.000
721,2.000
722,1.960
723,1.925
724,1.885
725,1.860
726,1.850
727,1.855
728,1.840
729,1.850
730,1.860
731,1.865
732,1.865
733,1.860
734,1.860
735,1.880
736,1.880
737,1.880
738,1.885
739,1.885
740,1.900
741,1.900
742,1.910
743,1.910
744,1.920
745,1.920
746,1.925
747,1.940
748,1.945
749,1.955
750,1.975
751,2.000
752,2.005
753,2.005
754,2.020
755,2.040
756,2.050
757,2.070
758,2.090
759,2.105
760,2.125
761,2.150
762,2.165
763,2.195
764,2.215
765,2.225
766,2.255
767,2.290
768,2.315
769,2.340
770,2.370
771,2.390
772,2.400
773,2.410
774,2.440
775,2.465
776,2.485
777,2.510
778,2.520
779,2.530
780,2.540
781,2.575
782,2.585
783,2.585
784,2.585
785,2.575
786,2.570
787,2.530
788,2.495
789,2.435
790,2.395
791,2.345
792,2.290
793,2.240
794,2.195
795,2.155
796,2.135
797,2.120
798,2.095
799,2.090
800,2.070
801,2.050
802,2.050
803,2.045
804,2.040
805,2.030
806,2.035
807,2.020
808,2.030
809,2.030
810,2.010
811,2.010
812,2.015
813,2.010
814,2.015
815,2.010
816,2.005
817,2.005
818,2.000
819,1.985
820,2.000
821,2.005
822,2.005
