'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.220,0.010
1,-0.215,-0.005
2,-0.210,-0.010
3,-0.190,-0.055
4,-0.170,-0.100
5,-0.190,-0.115
6,-0.210,-0.130
7,-0.210,-0.120
8,-0.210,-0.110
9,-0.200,-0.105
10,-0.190,-0.100
11,-0.215,-0.105
12,-0.230,-0.110
13,-0.215,-0.105
14,-0.200,-0.100
15,-0.205,-0.100
16,-0.200,-0.100
17,-0.170,-0.105
18,-0.155,-0.100
19,-0.175,-0.070
20,-0.190,-0.050
21,-0.175,-0.065
22,-0.160,-0.070
23,-0.135,-0.065
24,-0.125,-0.060
25,-0.135,-0.055
26,-0.140,-0.050
27,-0.135,-0.045
28,-0.125,-0.040
29,-0.115,-0.045
30,-0.100,-0.050
31,-0.085,-0.050
32,-0.090,-0.050
33,-0.105,-0.045
34,-0.135,-0.040
35,-0.170,-0.035
36,-0.035,0.000
37,0.140,0.045
38,0.445,0.075
39,0.770,0.105
40,1.095,-0.060
41,1.420,-0.245
42,1.750,-0.490
43,2.075,-0.730
44,2.400,-0.780
45,2.675,-0.835
46,2.350,-0.905
47,2.020,-0.970
48,1.695,-0.970
49,1.365,-0.970
50,1.040,-0.970
51,0.710,-0.925
52,0.385,-0.705
53,0.080,-0.500
54,-0.150,-0.350
55,-0.295,-0.210
56,-0.245,-0.110
57,-0.210,-0.020
58,-0.200,0.040
59,-0.195,0.080
60,-0.215,0.070
61,-0.230,0.065
62,-0.220,0.080
63,-0.205,0.090
64,-0.190,0.085
65,-0.185,0.085
66,-0.200,0.095
67,-0.205,0.100
68,-0.190,0.100
69,-0.190,0.100
70,-0.210,0.105
71,-0.220,0.110
72,-0.220,0.115
73,-0.220,0.120
74,-0.215,0.120
75,-0.210,0.125
76,-0.215,0.135
77,-0.220,0.140
78,-0.220,0.140
79,-0.215,0.140
80,-0.205,0.145
81,-0.205,0.150
82,-0.215,0.150
83,-0.215,0.155
84,-0.200,0.170
85,-0.165,0.170
86,-0.130,0.170
87,-0.140,0.180
88,-0.150,0.190
89,-0.145,0.190
90,-0.140,0.190
91,-0.120,0.185
92,-0.100,0.180
93,-0.080,0.185
94,-0.060,0.190
95,-0.050,0.195
96,-0.035,0.200
97,-0.015,0.200
98,0.000,0.200
99,0.000,0.200
100,0.020,0.200
101,0.075,0.200
102,0.110,0.200
103,0.120,0.200
104,0.130,0.200
105,0.135,0.200
106,0.145,0.200
107,0.160,0.200
108,0.195,0.200
109,0.250,0.195
110,0.275,0.195
111,0.290,0.205
112,0.300,0.210
113,0.300,0.205
114,0.325,0.200
115,0.370,0.200
116,0.380,0.200
117,0.385,0.195
118,0.400,0.190
119,0.415,0.185
120,0.420,0.175
121,0.415,0.165
122,0.390,0.155
123,0.365,0.145
124,0.320,0.140
125,0.360,0.140
126,0.250,0.115
127,0.230,0.100
128,0.205,0.090
129,0.180,0.080
130,0.130,0.070
131,0.090,0.060
132,0.080,0.055
133,0.070,0.050
134,0.050,0.040
135,0.025,0.030
136,0.000,0.020
137,-0.020,0.010
138,-0.010,0.010
139,-0.005,0.010
140,-0.025,0.010
141,-0.040,0.010
142,-0.045,0.005
143,-0.050,0.000
144,-0.040,0.000
145,-0.030,0.000
146,-0.015,0.005
147,-0.015,0.010
148,-0.030,0.010
149,-0.040,0.010
150,-0.040,0.010
151,-0.045,0.010
152,-0.055,0.010
153,-0.060,0.010
154,-0.055,0.005
155,-0.035,0.000
156,-0.010,0.005
157,-0.020,0.010
158,-0.050,0.005
159,-0.060,0.000
160,-0.060,0.000
161,-0.060,0.000
162,-0.060,0.000
163,-0.050,0.000
164,-0.035,0.000
165,-0.045,0.000
166,-0.065,0.005
167,-0.065,0.010
168,-0.060,0.010
169,-0.060,0.005
170,-0.060,0.000
171,-0.070,0.005
172,-0.080,0.010
173,-0.050,0.005
174,-0.025,0.000
175,-0.060,-0.005
176,-0.090,-0.010
177,-0.095,0.005
178,-0.100,0.020
179,-0.100,0.005
180,-0.100,-0.010
181,-0.080,-0.005
182,-0.075,0.000
183,-0.100,0.000
184,-0.120,0.000
185,-0.115,0.005
186,-0.110,0.010
187,-0.120,0.010
188,-0.130,0.010
189,-0.135,0.005
190,-0.135,0.000
191,-0.125,0.000
192,-0.135,0.000
193,-0.160,-0.005
194,-0.175,-0.010
195,-0.185,-0.005
196,-0.190,0.000
197,-0.185,-0.005
198,-0.165,-0.010
199,-0.145,-0.010
200,-0.140,-0.005
201,-0.145,0.005
202,-0.170,0.010
203,-0.195,0.005
204,-0.195,0.000
205,-0.185,-0.005
206,-0.170,-0.010
207,-0.155,-0.005
208,-0.160,0.000
209,-0.180,0.000
210,-0.175,0.000
211,-0.170,0.000
212,-0.170,0.005
213,-0.170,0.010
214,-0.170,0.000
215,-0.170,-0.010
216,-0.165,-0.010
217,-0.160,-0.010
218,-0.175,-0.005
219,-0.185,0.000
220,-0.165,0.000
221,-0.150,0.000
222,-0.155,0.000
223,-0.165,0.000
224,-0.180,-0.010
225,-0.190,-0.020
226,-0.185,-0.015
227,-0.180,-0.010
228,-0.175,-0.010
229,-0.170,-0.010
230,-0.175,-0.005
231,-0.180,-0.005
232,-0.180,-0.015
233,-0.175,-0.020
234,-0.165,-0.020
235,-0.155,-0.020
236,-0.145,-0.020
237,-0.150,-0.020
238,-0.170,-0.025
239,-0.180,-0.030
240,-0.180,-0.035
241,-0.185,-0.040
242,-0.195,-0.045
243,-0.185,-0.045
244,-0.165,-0.035
245,-0.125,-0.025
246,-0.075,-0.015
247,-0.105,-0.010
248,-0.145,-0.005
249,-0.165,0.000
250,-0.150,0.000
251,-0.185,0.015
252,-0.180,0.020
253,-0.185,0.025
254,-0.190,0.030
255,-0.210,0.025
256,-0.230,0.020
257,-0.220,0.015
258,-0.210,0.005
259,-0.215,-0.040
260,-0.220,-0.080
261,-0.225,-0.095
262,-0.230,-0.110
263,-0.225,-0.095
264,-0.230,-0.080
265,-0.260,-0.070
266,-0.280,-0.060
267,-0.275,-0.065
268,-0.265,-0.070
269,-0.250,-0.070
270,-0.240,-0.070
271,-0.245,-0.075
272,-0.245,-0.080
273,-0.235,-0.080
274,-0.230,-0.065
275,-0.235,-0.035
276,-0.240,-0.025
277,-0.235,-0.040
278,-0.230,-0.050
279,-0.225,-0.050
280,-0.220,-0.050
281,-0.220,-0.050
282,-0.210,-0.050
283,-0.195,-0.045
284,-0.190,-0.040
285,-0.190,-0.040
286,-0.190,-0.040
287,-0.185,-0.045
288,-0.195,-0.050
289,-0.215,-0.045
290,-0.245,-0.040
291,-0.275,-0.035
292,-0.090,0.010
293,0.110,0.050
294,0.435,0.065
295,0.760,0.070
296,1.085,-0.120
297,1.410,-0.320
298,1.735,-0.570
299,2.060,-0.780
300,2.385,-0.800
301,2.570,-0.840
302,2.245,-0.930
303,1.915,-0.995
304,1.590,-0.970
305,1.260,-0.950
