'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.220,-0.120
1,-0.190,-0.105
2,-0.210,-0.100
3,-0.220,-0.115
4,-0.210,-0.120
5,-0.215,-0.120
6,-0.210,-0.115
7,-0.210,-0.120
8,-0.210,-0.125
9,-0.210,-0.120
10,-0.215,-0.115
11,-0.225,-0.120
12,-0.220,-0.120
13,-0.215,-0.125
14,-0.210,-0.125
15,-0.215,-0.125
16,-0.220,-0.115
17,-0.215,-0.100
18,-0.215,-0.110
19,-0.230,-0.130
20,-0.220,-0.130
21,-0.210,-0.125
22,-0.220,-0.130
23,-0.225,-0.135
24,-0.215,-0.130
25,-0.210,-0.125
26,-0.220,-0.100
27,-0.215,-0.120
28,-0.225,-0.135
29,-0.215,-0.130
30,-0.200,-0.125
31,-0.220,-0.125
32,-0.235,-0.130
33,-0.230,-0.130
34,-0.230,-0.125
35,-0.215,-0.115
36,-0.220,-0.115
37,-0.225,-0.120
38,-0.210,-0.120
39,-0.200,-0.120
40,-0.220,-0.120
41,-0.225,-0.125
42,-0.225,-0.135
43,-0.225,-0.125
44,-0.215,-0.115
45,-0.230,-0.120
46,-0.220,-0.120
47,-0.210,-0.130
48,-0.225,-0.130
49,-0.230,-0.120
50,-0.220,-0.120
51,-0.205,-0.130
52,-0.220,-0.130
53,-0.220,-0.125
54,-0.215,-0.125
55,-0.210,-0.120
56,-0.215,-0.125
57,-0.235,-0.140
58,-0.210,-0.125
59,-0.195,-0.110
60,-0.205,-0.110
61,-0.215,-0.120
62,-0.215,-0.120
63,-0.210,-0.125
64,-0.210,-0.115
65,-0.225,-0.130
66,-0.235,-0.140
67,-0.210,-0.130
68,-0.195,-0.120
69,-0.210,-0.120
70,-0.205,-0.120
71,-0.170,-0.115
72,-0.150,-0.090
73,-0.145,-0.065
74,-0.120,-0.030
75,-0.105,-0.025
76,-0.090,-0.025
77,-0.070,-0.020
78,-0.060,-0.020
79,-0.060,-0.035
80,-0.045,-0.050
81,-0.035,-0.055
82,-0.055,-0.080
83,-0.080,-0.090
84,-0.090,-0.095
85,-0.100,-0.105
86,-0.130,-0.125
87,-0.150,-0.135
88,-0.170,-0.115
89,-0.180,-0.095
90,-0.200,-0.105
91,-0.225,-0.115
92,-0.230,-0.115
93,-0.245,-0.130
94,-0.265,-0.150
95,-0.275,-0.150
96,-0.260,-0.155
97,-0.265,-0.150
98,-0.280,-0.145
99,-0.275,-0.145
100,-0.270,-0.150
101,-0.270,-0.165
102,-0.260,-0.150
103,-0.265,-0.135
104,-0.265,-0.130
105,-0.260,-0.140
106,-0.265,-0.140
107,-0.270,-0.150
108,-0.315,-0.145
109,-0.400,-0.145
110,-0.505,-0.145
111,-0.545,-0.055
112,-0.475,0.100
113,-0.215,0.215
114,0.210,0.295
115,0.785,0.295
116,1.405,0.305
117,1.825,0.475
118,1.765,0.395
119,1.115,-0.315
120,0.410,-0.805
121,0.015,-0.780
122,-0.190,-0.665
123,-0.310,-0.560
124,-0.290,-0.400
125,-0.275,-0.345
126,-0.195,-0.155
127,-0.180,-0.120
128,-0.210,-0.105
129,-0.215,-0.100
130,-0.210,-0.085
131,-0.220,-0.080
132,-0.225,-0.075
133,-0.225,-0.075
134,-0.220,-0.065
135,-0.210,-0.065
136,-0.230,-0.080
137,-0.230,-0.075
138,-0.205,-0.065
139,-0.200,-0.050
140,-0.220,-0.050
141,-0.225,-0.065
142,-0.220,-0.060
143,-0.210,-0.045
144,-0.215,-0.050
145,-0.220,-0.060
146,-0.210,-0.050
147,-0.185,-0.035
148,-0.200,-0.040
149,-0.230,-0.035
150,-0.225,-0.030
151,-0.180,-0.020
152,-0.205,-0.015
153,-0.210,-0.020
154,-0.195,-0.025
155,-0.190,-0.010
156,-0.190,-0.005
157,-0.195,-0.015
158,-0.190,-0.020
159,-0.180,-0.010
160,-0.170,0.000
161,-0.180,-0.010
162,-0.180,-0.005
163,-0.150,0.005
164,-0.145,0.010
165,-0.165,0.000
166,-0.150,0.010
167,-0.130,0.025
168,-0.115,0.035
