'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,-0.195,-0.165
1,-0.175,-0.150
2,-0.155,-0.145
3,-0.135,-0.140
4,-0.115,-0.135
5,-0.110,-0.120
6,-0.105,-0.105
7,-0.105,-0.095
8,-0.105,-0.085
9,-0.075,-0.085
10,-0.055,-0.085
11,-0.030,-0.080
12,-0.015,-0.075
13,-0.025,-0.080
14,-0.040,-0.090
15,-0.055,-0.110
16,-0.060,-0.130
17,-0.040,-0.145
18,-0.030,-0.150
19,-0.045,-0.135
20,-0.075,-0.125
21,-0.120,-0.140
22,-0.155,-0.150
23,-0.180,-0.160
24,-0.195,-0.165
25,-0.195,-0.170
26,-0.195,-0.175
27,-0.195,-0.175
28,-0.195,-0.175
29,-0.195,-0.180
30,-0.195,-0.185
31,-0.200,-0.185
32,-0.205,-0.185
33,-0.205,-0.180
34,-0.205,-0.175
35,-0.205,-0.175
36,-0.205,-0.175
37,-0.210,-0.175
38,-0.210,-0.175
39,-0.200,-0.170
40,-0.195,-0.165
41,-0.190,-0.165
42,-0.185,-0.165
43,-0.185,-0.165
44,-0.185,-0.165
45,-0.185,-0.165
46,-0.175,-0.160
47,-0.165,-0.155
48,-0.155,-0.150
49,-0.155,-0.145
50,-0.225,-0.140
51,-0.305,-0.130
52,-0.415,-0.090
53,-0.460,-0.035
54,-0.315,0.055
55,-0.050,0.120
56,0.480,0.145
57,1.055,0.180
58,1.695,0.230
59,2.015,0.255
60,1.870,0.225
61,1.310,0.030
62,0.260,-0.365
63,-0.435,-0.810
64,-0.785,-1.300
65,-0.925,-1.550
66,-0.885,-1.600
67,-0.720,-1.495
68,-0.475,-1.270
69,-0.310,-0.985
70,-0.195,-0.675
71,-0.135,-0.435
72,-0.105,-0.225
73,-0.095,-0.120
74,-0.090,-0.060
75,-0.085,-0.030
76,-0.085,-0.010
77,-0.085,0.000
78,-0.080,0.010
79,-0.075,0.020
80,-0.070,0.030
81,-0.060,0.040
82,-0.050,0.050
83,-0.045,0.055
84,-0.045,0.065
85,-0.035,0.075
86,-0.025,0.085
87,-0.015,0.095
88,-0.005,0.105
89,0.000,0.105
90,0.005,0.105
91,0.015,0.110
92,0.025,0.115
93,0.030,0.120
94,0.035,0.125
95,0.045,0.135
96,0.055,0.145
97,0.065,0.145
98,0.075,0.145
99,0.085,0.155
100,0.100,0.165
101,0.115,0.175
102,0.130,0.190
103,0.150,0.210
104,0.165,0.230
105,0.180,0.245
106,0.195,0.260
107,0.215,0.275
108,0.235,0.295
109,0.255,0.315
110,0.280,0.340
111,0.310,0.365
112,0.345,0.385
113,0.380,0.400
114,0.415,0.415
115,0.445,0.430
116,0.475,0.450
117,0.505,0.470
118,0.535,0.485
119,0.560,0.500
120,0.575,0.505
121,0.590,0.505
122,0.610,0.505
123,0.630,0.500
124,0.635,0.495
125,0.635,0.495
126,0.630,0.460
127,0.615,0.435
128,0.570,0.395
129,0.520,0.355
130,0.450,0.300
131,0.375,0.250
132,0.305,0.205
133,0.235,0.160
134,0.160,0.115
135,0.095,0.070
136,0.040,0.025
137,-0.015,-0.010
138,-0.055,-0.040
139,-0.090,-0.070
140,-0.110,-0.090
141,-0.130,-0.110
142,-0.145,-0.125
143,-0.160,-0.135
144,-0.175,-0.135
145,-0.185,-0.135
146,-0.200,-0.150
147,-0.205,-0.155
148,-0.205,-0.155
149,-0.205,-0.155
150,-0.210,-0.155
151,-0.215,-0.155
152,-0.210,-0.160
153,-0.205,-0.165
154,-0.205,-0.170
155,-0.205,-0.170
156,-0.210,-0.160
157,-0.215,-0.155
158,-0.215,-0.155
159,-0.215,-0.155
160,-0.210,-0.155
161,-0.205,-0.155
162,-0.205,-0.155
163,-0.205,-0.155
164,-0.205,-0.155
165,-0.205,-0.155
166,-0.205,-0.150
167,-0.200,-0.145
168,-0.195,-0.145
169,-0.200,-0.150
170,-0.205,-0.155
171,-0.200,-0.155
172,-0.195,-0.155
173,-0.190,-0.150
174,-0.185,-0.145
175,-0.190,-0.145
176,-0.195,-0.145
177,-0.195,-0.150
178,-0.195,-0.155
179,-0.195,-0.150
180,-0.195,-0.145
181,-0.195,-0.145
182,-0.195,-0.145
183,-0.200,-0.150
184,-0.205,-0.155
185,-0.205,-0.160
186,-0.205,-0.165
187,-0.205,-0.165
188,-0.205,-0.165
189,-0.205,-0.165
190,-0.205,-0.165
191,-0.205,-0.170
192,-0.205,-0.175
193,-0.210,-0.175
194,-0.215,-0.175
195,-0.215,-0.180
196,-0.215,-0.185
197,-0.215,-0.180
198,-0.215,-0.175
199,-0.215,-0.180
200,-0.215,-0.185
201,-0.215,-0.185
202,-0.215,-0.185
203,-0.210,-0.180
204,-0.205,-0.175
205,-0.205,-0.175
206,-0.200,-0.175
207,-0.190,-0.175
208,-0.175,-0.170
209,-0.155,-0.155
210,-0.140,-0.135
211,-0.125,-0.115
212,-0.120,-0.110
213,-0.115,-0.105
214,-0.090,-0.110
215,-0.065,-0.115
216,-0.045,-0.110
217,-0.025,-0.105
218,-0.040,-0.105
219,-0.055,-0.110
220,-0.070,-0.130
221,-0.080,-0.145
222,-0.060,-0.160
223,-0.050,-0.175
224,-0.065,-0.165
225,-0.085,-0.155
226,-0.120,-0.160
227,-0.160,-0.165
228,-0.200,-0.170
229,-0.225,-0.175
230,-0.220,-0.190
231,-0.215,-0.195
232,-0.220,-0.200
233,-0.225,-0.205
234,-0.225,-0.205
235,-0.225,-0.205
236,-0.225,-0.200
237,-0.225,-0.195
238,-0.225,-0.200
239,-0.225,-0.205
240,-0.230,-0.205
241,-0.235,-0.205
242,-0.230,-0.200
243,-0.225,-0.195
244,-0.230,-0.190
245,-0.235,-0.185
246,-0.230,-0.185
247,-0.225,-0.185
248,-0.225,-0.190
249,-0.220,-0.190
250,-0.225,-0.195
251,-0.205,-0.170
252,-0.205,-0.165
253,-0.195,-0.170
254,-0.185,-0.175
255,-0.205,-0.175
256,-0.240,-0.175
257,-0.350,-0.140
258,-0.445,-0.105
259,-0.430,-0.025
260,-0.330,0.045
261,0.045,0.090
262,0.510,0.125
263,1.220,0.135
264,1.740,0.155
265,1.885,0.185
266,1.620,0.095
267,0.660,-0.200
268,-0.125,-0.580
269,-0.680,-1.065
270,-0.975,-1.405
271,-0.970,-1.585
272,-0.870,-1.590
273,-0.680,-1.415
274,-0.500,-1.195
275,-0.325,-0.935
276,-0.215,-0.675
277,-0.150,-0.410
278,-0.120,-0.245
279,-0.110,-0.140
280,-0.105,-0.080
281,-0.105,-0.045
282,-0.105,-0.030
283,-0.100,-0.020
284,-0.095,-0.015
285,-0.090,-0.010
286,-0.085,-0.005
287,-0.080,0.000
288,-0.070,0.010
289,-0.060,0.020
290,-0.050,0.035
291,-0.040,0.050
292,-0.030,0.050
293,-0.025,0.045
294,-0.020,0.055
295,-0.015,0.065
296,-0.010,0.070
297,-0.005,0.075
298,0.010,0.085
299,0.025,0.095
300,0.030,0.100
301,0.035,0.105
302,0.050,0.110
303,0.065,0.115
304,0.080,0.120
305,0.095,0.130
306,0.115,0.150
307,0.130,0.165
308,0.145,0.175
309,0.160,0.185
310,0.175,0.195
311,0.195,0.210
312,0.220,0.230
313,0.240,0.250
314,0.255,0.265
315,0.275,0.280
316,0.295,0.295
317,0.325,0.315
318,0.360,0.335
319,0.390,0.355
320,0.425,0.375
321,0.465,0.395
322,0.510,0.415
323,0.540,0.425
324,0.565,0.425
325,0.590,0.430
326,0.610,0.440
327,0.615,0.445
328,0.620,0.445
329,0.630,0.440
330,0.640,0.430
331,0.635,0.410
332,0.620,0.390
333,0.585,0.350
334,0.545,0.305
335,0.480,0.265
336,0.415,0.225
337,0.335,0.185
338,0.260,0.140
339,0.195,0.095
340,0.130,0.050
341,0.065,0.015
342,0.010,-0.020
343,-0.030,-0.045
344,-0.070,-0.065
345,-0.095,-0.080
346,-0.120,-0.095
347,-0.145,-0.110
348,-0.170,-0.130
349,-0.185,-0.145
350,-0.195,-0.155
351,-0.200,-0.155
352,-0.205,-0.155
353,-0.205,-0.155
354,-0.205,-0.155
355,-0.205,-0.160
356,-0.205,-0.165
357,-0.210,-0.170
358,-0.215,-0.175
359,-0.220,-0.170
360,-0.220,-0.165
361,-0.210,-0.160
362,-0.205,-0.155
363,-0.205,-0.160
364,-0.205,-0.165
365,-0.205,-0.165
366,-0.205,-0.165
367,-0.205,-0.160
368,-0.205,-0.155
369,-0.200,-0.150
370,-0.195,-0.145
371,-0.195,-0.145
372,-0.195,-0.145
373,-0.200,-0.150
374,-0.205,-0.155
375,-0.205,-0.155
376,-0.200,-0.145
377,-0.205,-0.145
378,-0.205,-0.145
379,-0.205,-0.145
380,-0.205,-0.150
381,-0.205,-0.155
382,-0.200,-0.155
383,-0.195,-0.155
384,-0.190,-0.150
385,-0.185,-0.145
386,-0.190,-0.150
387,-0.195,-0.155
388,-0.200,-0.160
389,-0.205,-0.165
390,-0.210,-0.160
391,-0.215,-0.155
392,-0.210,-0.155
393,-0.205,-0.155
394,-0.210,-0.165
395,-0.215,-0.175
396,-0.220,-0.180
397,-0.225,-0.185
398,-0.225,-0.180
399,-0.225,-0.175
400,-0.220,-0.175
401,-0.215,-0.175
402,-0.220,-0.175
403,-0.225,-0.175
404,-0.225,-0.180
405,-0.225,-0.185
406,-0.225,-0.185
407,-0.225,-0.185
408,-0.220,-0.185
409,-0.215,-0.185
410,-0.215,-0.185
411,-0.215,-0.185
412,-0.215,-0.190
413,-0.190,-0.185
414,-0.160,-0.170
415,-0.140,-0.150
416,-0.120,-0.130
417,-0.125,-0.120
418,-0.135,-0.115
419,-0.120,-0.115
420,-0.105,-0.115
421,-0.075,-0.110
422,-0.045,-0.105
423,-0.045,-0.105
424,-0.045,-0.105
425,-0.075,-0.125
426,-0.095,-0.145
427,-0.090,-0.165
428,-0.085,-0.185
429,-0.075,-0.185
430,-0.065,-0.185
431,-0.085,-0.175
432,-0.115,-0.165
433,-0.185,-0.165
434,-0.225,-0.175
435,-0.220,-0.205
436,-0.215,-0.225
437,-0.215,-0.215
438,-0.215,-0.205
439,-0.220,-0.210
440,-0.225,-0.215
441,-0.225,-0.210
442,-0.230,-0.205
443,-0.240,-0.210
444,-0.240,-0.215
445,-0.230,-0.210
446,-0.225,-0.205
447,-0.225,-0.205
448,-0.225,-0.205
449,-0.220,-0.205
450,-0.215,-0.205
451,-0.215,-0.205
452,-0.215,-0.205
453,-0.210,-0.200
454,-0.205,-0.195
455,-0.205,-0.190
456,-0.200,-0.185
457,-0.190,-0.185
458,-0.185,-0.185
459,-0.185,-0.195
460,-0.185,-0.185
461,-0.190,-0.175
462,-0.280,-0.150
463,-0.365,-0.120
464,-0.390,-0.070
465,-0.370,-0.015
466,-0.075,0.055
467,0.290,0.115
468,0.915,0.110
469,1.480,0.105
470,1.865,0.110
471,1.940,0.065
472,1.275,-0.120
473,0.540,-0.390
474,-0.330,-0.820
475,-0.890,-1.180
476,-0.960,-1.430
477,-0.955,-1.535
478,-0.840,-1.440
479,-0.670,-1.285
480,-0.445,-1.075
481,-0.285,-0.840
482,-0.190,-0.580
483,-0.125,-0.370
484,-0.090,-0.200
485,-0.070,-0.110
486,-0.060,-0.065
487,-0.055,-0.045
488,-0.060,-0.040
489,-0.060,-0.035
490,-0.050,-0.030
491,-0.040,-0.020
492,-0.030,-0.010
493,-0.025,0.005
494,-0.020,0.020
495,-0.015,0.025
496,-0.010,0.025
497,-0.005,0.025
498,0.000,0.030
499,0.010,0.035
500,0.005,0.035
501,0.035,0.055
502,0.045,0.065
503,0.055,0.065
504,0.065,0.065
505,0.070,0.070
506,0.075,0.075
507,0.090,0.090
508,0.105,0.105
509,0.115,0.115
510,0.125,0.125
511,0.135,0.130
512,0.145,0.135
513,0.160,0.140
514,0.180,0.150
515,0.200,0.165
516,0.220,0.180
517,0.240,0.200
518,0.260,0.220
519,0.280,0.240
520,0.310,0.260
521,0.345,0.275
522,0.380,0.295
523,0.410,0.315
524,0.445,0.330
525,0.480,0.340
526,0.510,0.350
527,0.535,0.365
528,0.560,0.375
529,0.585,0.380
530,0.610,0.385
531,0.635,0.385
532,0.645,0.385
533,0.650,0.385
534,0.655,0.380
535,0.650,0.370
536,0.635,0.345
537,0.620,0.320
538,0.580,0.295
539,0.540,0.270
540,0.480,0.235
541,0.420,0.200
542,0.350,0.160
543,0.285,0.125
544,0.225,0.085
545,0.165,0.045
546,0.110,0.015
547,0.060,-0.015
548,0.020,-0.040
549,-0.020,-0.065
550,-0.060,-0.085
551,-0.100,-0.105
552,-0.125,-0.120
553,-0.145,-0.135
554,-0.150,-0.140
555,-0.155,-0.145
556,-0.175,-0.150
557,-0.185,-0.155
558,-0.185,-0.160
559,-0.185,-0.165
560,-0.190,-0.170
561,-0.195,-0.175
562,-0.195,-0.175
563,-0.195,-0.175
564,-0.190,-0.170
565,-0.185,-0.165
566,-0.185,-0.165
567,-0.185,-0.165
568,-0.185,-0.165
569,-0.185,-0.165
570,-0.180,-0.160
571,-0.175,-0.155
572,-0.175,-0.155
573,-0.175,-0.155
574,-0.175,-0.150
575,-0.175,-0.145
576,-0.180,-0.150
577,-0.185,-0.155
578,-0.180,-0.155
579,-0.175,-0.155
580,-0.175,-0.150
581,-0.175,-0.145
582,-0.175,-0.145
583,-0.175,-0.145
584,-0.175,-0.155
585,-0.175,-0.150
586,-0.175,-0.145
587,-0.170,-0.145
588,-0.165,-0.145
589,-0.165,-0.145
590,-0.165,-0.145
591,-0.175,-0.155
592,-0.185,-0.165
593,-0.180,-0.160
594,-0.175,-0.155
595,-0.180,-0.155
596,-0.185,-0.155
597,-0.190,-0.160
598,-0.195,-0.165
599,-0.195,-0.170
600,-0.195,-0.175
601,-0.190,-0.175
602,-0.185,-0.175
603,-0.190,-0.170
604,-0.195,-0.165
605,-0.200,-0.170
606,-0.205,-0.175
607,-0.205,-0.180
608,-0.205,-0.185
609,-0.200,-0.180
610,-0.195,-0.175
611,-0.200,-0.175
612,-0.205,-0.175
613,-0.205,-0.180
614,-0.205,-0.185
615,-0.205,-0.185
616,-0.190,-0.185
617,-0.160,-0.180
618,-0.140,-0.160
619,-0.120,-0.140
620,-0.115,-0.130
621,-0.115,-0.120
622,-0.115,-0.115
623,-0.110,-0.120
624,-0.080,-0.120
625,-0.105,-0.125
626,-0.035,-0.100
627,-0.025,-0.095
628,-0.050,-0.115
629,-0.075,-0.135
630,-0.070,-0.165
631,-0.065,-0.195
632,-0.055,-0.180
633,-0.045,-0.165
634,-0.065,-0.155
635,-0.095,-0.145
636,-0.145,-0.155
637,-0.185,-0.170
638,-0.200,-0.200
639,-0.215,-0.225
640,-0.220,-0.215
641,-0.225,-0.205
642,-0.220,-0.205
643,-0.215,-0.205
644,-0.220,-0.205
645,-0.225,-0.205
646,-0.225,-0.210
647,-0.225,-0.215
648,-0.225,-0.210
649,-0.225,-0.205
650,-0.230,-0.200
651,-0.235,-0.195
652,-0.230,-0.195
653,-0.225,-0.195
654,-0.230,-0.200
655,-0.230,-0.205
656,-0.220,-0.200
657,-0.215,-0.195
658,-0.220,-0.190
659,-0.225,-0.185
660,-0.220,-0.185
661,-0.215,-0.185
662,-0.210,-0.185
663,-0.200,-0.185
664,-0.190,-0.180
665,-0.235,-0.170
666,-0.290,-0.160
667,-0.385,-0.115
668,-0.475,-0.075
669,-0.340,0.010
670,-0.175,0.095
671,0.390,0.115
672,0.955,0.140
673,1.550,0.185
674,2.015,0.215
675,1.825,0.150
676,1.450,0.015
677,0.400,-0.370
678,-0.465,-0.765
679,-0.805,-1.195
680,-1.035,-1.505
681,-0.985,-1.540
682,-0.875,-1.500
683,-0.650,-1.305
684,-0.460,-1.080
685,-0.315,-0.820
686,-0.215,-0.575
687,-0.165,-0.350
688,-0.130,-0.200
689,-0.120,-0.120
690,-0.115,-0.075
691,-0.110,-0.050
692,-0.105,-0.035
693,-0.105,-0.035
694,-0.100,-0.030
695,-0.090,-0.010
696,-0.085,0.000
697,-0.080,0.010
698,-0.070,0.015
699,-0.060,0.020
700,-0.055,0.025
701,-0.055,0.025
702,-0.050,0.035
703,-0.040,0.050
704,-0.035,0.060
705,-0.030,0.070
706,-0.020,0.075
707,-0.010,0.075
708,0.000,0.075
709,0.015,0.065
710,0.025,0.080
711,0.035,0.095
712,0.050,0.100
713,0.065,0.105
714,0.075,0.120
715,0.085,0.135
716,0.090,0.145
717,0.095,0.155
718,0.115,0.170
719,0.135,0.185
720,0.150,0.195
721,0.170,0.210
722,0.190,0.230
723,0.210,0.245
724,0.230,0.255
725,0.255,0.275
726,0.285,0.300
727,0.320,0.320
728,0.355,0.335
729,0.390,0.350
730,0.425,0.375
731,0.455,0.390
732,0.480,0.405
733,0.510,0.420
734,0.540,0.430
735,0.565,0.435
736,0.585,0.440
737,0.600,0.445
738,0.610,0.440
739,0.615,0.425
740,0.610,0.410
741,0.590,0.385
742,0.570,0.355
743,0.520,0.320
744,0.455,0.285
745,0.385,0.235
746,0.315,0.180
747,0.240,0.125
748,0.160,0.070
749,0.100,0.040
750,0.155,0.065
751,-0.010,-0.020
752,-0.055,-0.045
753,-0.090,-0.070
754,-0.125,-0.095
755,-0.145,-0.115
756,-0.165,-0.135
757,-0.175,-0.140
758,-0.185,-0.145
759,-0.200,-0.150
760,-0.215,-0.155
761,-0.220,-0.160
762,-0.225,-0.165
763,-0.225,-0.170
764,-0.225,-0.175
765,-0.225,-0.170
766,-0.225,-0.165
767,-0.225,-0.160
768,-0.225,-0.155
769,-0.225,-0.160
770,-0.225,-0.165
771,-0.225,-0.165
772,-0.225,-0.165
773,-0.220,-0.160
774,-0.215,-0.155
775,-0.215,-0.155
776,-0.215,-0.155
777,-0.215,-0.155
778,-0.215,-0.155
779,-0.220,-0.155
780,-0.225,-0.155
781,-0.220,-0.150
782,-0.215,-0.145
783,-0.215,-0.145
784,-0.215,-0.145
785,-0.215,-0.150
786,-0.215,-0.155
787,-0.215,-0.155
788,-0.215,-0.155
789,-0.210,-0.150
790,-0.205,-0.145
791,-0.200,-0.140
792,-0.195,-0.140
793,-0.195,-0.145
794,-0.195,-0.150
795,-0.195,-0.155
796,-0.200,-0.150
797,-0.205,-0.145
798,-0.205,-0.145
799,-0.205,-0.145
800,-0.205,-0.155
801,-0.205,-0.165
802,-0.210,-0.165
803,-0.215,-0.165
804,-0.215,-0.165
805,-0.215,-0.165
806,-0.215,-0.165
807,-0.215,-0.165
808,-0.215,-0.170
809,-0.215,-0.175
810,-0.215,-0.180
811,-0.215,-0.185
812,-0.220,-0.180
813,-0.225,-0.175
814,-0.225,-0.175
815,-0.225,-0.175
816,-0.230,-0.175
817,-0.235,-0.180
818,-0.230,-0.190
819,-0.225,-0.195
820,-0.220,-0.190
821,-0.215,-0.185
822,-0.215,-0.180
823,-0.200,-0.175
824,-0.180,-0.170
825,-0.165,-0.160
826,-0.150,-0.150
827,-0.145,-0.135
828,-0.140,-0.120
829,-0.135,-0.115
830,-0.135,-0.110
831,-0.110,-0.105
832,-0.080,-0.105
833,-0.065,-0.105
834,-0.045,-0.105
835,-0.060,-0.115
836,-0.075,-0.125
837,-0.085,-0.145
838,-0.095,-0.165
839,-0.075,-0.165
840,-0.055,-0.165
841,-0.075,-0.160
842,-0.100,-0.155
843,-0.150,-0.160
844,-0.190,-0.165
845,-0.210,-0.175
846,-0.225,-0.185
847,-0.230,-0.190
848,-0.235,-0.195
849,-0.235,-0.200
850,-0.235,-0.205
851,-0.230,-0.205
852,-0.225,-0.205
853,-0.225,-0.200
854,-0.225,-0.195
855,-0.230,-0.200
856,-0.235,-0.205
