'sample interval','ECG1','ECG2'
'0.004 sec','mV','mV'
0,0.055,0.485
1,0.125,0.495
2,0.135,0.505
3,0.115,0.495
4,0.095,0.485
5,0.110,0.460
6,0.125,0.435
7,0.090,0.420
8,0.065,0.405
9,0.080,0.390
10,0.090,0.370
11,0.045,0.335
12,0.005,0.285
13,-0.035,0.215
14,-0.055,0.150
15,-0.015,0.105
16,0.000,0.075
17,-0.045,0.065
18,-0.075,0.035
19,-0.065,-0.015
20,-0.070,-0.050
21,-0.115,-0.075
22,-0.150,-0.085
23,-0.180,-0.090
24,-0.220,-0.100
25,-0.275,-0.110
26,-0.315,-0.115
27,-0.350,-0.115
28,-0.335,-0.120
29,-0.290,-0.130
30,-0.260,-0.135
31,-0.235,-0.135
32,-0.215,-0.120
33,-0.200,-0.100
34,-0.200,-0.100
35,-0.210,-0.110
36,-0.245,-0.115
37,-0.280,-0.115
38,-0.235,-0.110
39,-0.170,-0.100
40,-0.165,-0.095
41,-0.160,-0.095
42,-0.210,-0.100
43,-0.265,-0.105
44,-0.265,-0.110
45,-0.265,-0.115
46,-0.230,-0.115
47,-0.195,-0.115
48,-0.205,-0.120
49,-0.210,-0.125
50,-0.180,-0.125
51,-0.155,-0.125
52,-0.175,-0.125
53,-0.195,-0.130
54,-0.210,-0.155
55,-0.225,-0.175
56,-0.215,-0.165
57,-0.210,-0.160
58,-0.230,-0.175
59,-0.230,-0.185
60,-0.190,-0.185
61,-0.165,-0.190
62,-0.175,-0.205
63,-0.195,-0.215
64,-0.220,-0.220
65,-0.225,-0.225
66,-0.205,-0.230
67,-0.210,-0.230
68,-0.240,-0.215
69,-0.280,-0.215
70,-0.320,-0.235
71,-0.265,-0.245
72,-0.165,-0.245
73,-0.170,-0.250
74,-0.220,-0.260
75,-0.235,-0.265
76,-0.230,-0.260
77,-0.280,-0.255
78,-0.355,-0.260
79,-0.355,-0.260
80,-0.340,-0.250
81,-0.315,-0.245
82,-0.290,-0.245
83,-0.260,-0.255
84,-0.225,-0.275
85,-0.255,-0.275
86,-0.285,-0.275
87,-0.250,-0.275
88,-0.215,-0.275
89,-0.245,-0.265
90,-0.265,-0.255
91,-0.195,-0.275
92,-0.145,-0.295
93,-0.195,-0.285
94,-0.240,-0.275
95,-0.265,-0.260
96,-0.270,-0.245
97,-0.220,-0.260
98,-0.210,-0.275
99,-0.285,-0.265
100,-0.335,-0.255
101,-0.325,-0.260
102,-0.315,-0.265
103,-0.310,-0.265
104,-0.260,-0.265
105,-0.165,-0.270
106,-0.125,-0.275
107,-0.145,-0.270
108,-0.165,-0.260
109,-0.195,-0.250
110,-0.200,-0.240
111,-0.190,-0.230
112,-0.190,-0.235
113,-0.200,-0.250
114,-0.245,-0.250
115,-0.310,-0.240
116,-0.245,-0.240
117,-0.140,-0.250
