'sample interval','MLII','V2'
'0.004 sec','mV','mV'
0,4.745,5.170
1,4.745,5.170
2,4.745,5.170
3,4.745,5.170
4,4.745,5.170
5,4.735,5.170
6,4.735,5.155
7,4.740,5.170
8,4.760,5.185
9,4.755,5.165
10,4.755,5.165
11,4.755,5.170
12,4.765,5.190
13,4.775,5.190
14,4.775,5.175
15,4.780,5.195
16,4.795,5.210
17,4.810,5.205
18,4.815,5.210
19,4.810,5.210
20,4.835,5.235
21,4.870,5.245
22,4.870,5.240
23,4.885,5.255
24,4.910,5.270
25,4.925,5.280
26,4.960,5.295
27,4.980,5.295
28,5.005,5.335
29,5.050,5.350
30,5.075,5.360
31,5.095,5.375
32,5.120,5.395
33,5.165,5.420
34,5.185,5.430
35,5.195,5.440
36,5.215,5.465
37,5.235,5.470
38,5.255,5.475
39,5.265,5.470
40,5.270,5.480
41,5.285,5.510
42,5.295,5.515
43,5.300,5.495
44,5.285,5.490
45,5.285,5.500
46,5.270,5.495
47,5.250,5.475
48,5.205,5.465
49,5.195,5.455
50,5.190,5.450
51,5.130,5.395
52,5.080,5.375
53,5.050,5.360
54,5.030,5.330
55,4.995,5.300
56,4.965,5.275
57,4.945,5.255
58,4.925,5.250
59,4.910,5.230
60,4.900,5.205
61,4.880,5.195
62,4.880,5.200
63,4.875,5.185
64,4.855,5.160
65,4.855,5.165
66,4.860,5.185
67,4.860,5.170
68,4.850,5.155
69,4.845,5.150
70,4.850,5.160
71,4.855,5.165
72,4.850,5.150
73,4.840,5.135
74,4.840,5.145
75,4.845,5.155
76,4.865,5.165
77,4.855,5.150
78,4.860,5.165
79,4.880,5.180
80,4.870,5.165
81,4.870,5.165
82,4.880,5.175
83,4.890,5.190
84,4.895,5.190
85,4.880,5.170
86,4.880,5.180
87,4.900,5.185
88,4.900,5.190
89,4.895,5.180
90,4.880,5.185
91,4.905,5.210
92,4.900,5.190
93,4.890,5.180
94,4.885,5.175
95,4.895,5.185
96,4.905,5.200
97,4.885,5.195
98,4.870,5.180
99,4.875,5.180
100,4.880,5.185
101,4.880,5.170
102,4.870,5.165
103,4.865,5.170
104,4.870,5.175
105,4.865,5.160
106,4.850,5.145
107,4.855,5.140
108,4.860,5.155
109,4.855,5.145
110,4.840,5.140
111,4.830,5.130
112,4.835,5.145
113,4.830,5.125
114,4.830,5.110
115,4.820,5.110
116,4.820,5.125
117,4.820,5.120
118,4.815,5.105
119,4.800,5.100
120,4.805,5.110
121,4.820,5.110
122,4.810,5.090
123,4.795,5.090
124,4.795,5.100
125,4.800,5.105
126,4.805,5.085
127,4.795,5.075
128,4.800,5.085
129,4.820,5.090
130,4.845,5.090
131,4.840,5.075
132,4.855,5.095
133,4.870,5.105
134,4.875,5.100
135,4.885,5.085
136,4.875,5.100
137,4.890,5.115
138,4.905,5.105
139,4.905,5.090
140,4.895,5.095
141,4.910,5.110
142,4.915,5.100
143,4.905,5.090
144,4.875,5.080
145,4.865,5.080
146,4.860,5.060
147,4.850,5.040
148,4.850,5.020
149,4.865,5.045
150,4.870,5.065
151,4.845,5.085
152,4.810,5.080
153,4.800,5.095
154,4.795,5.090
155,4.780,5.070
156,4.750,5.050
157,4.735,5.060
158,4.740,5.070
159,4.730,5.060
160,4.710,5.045
161,4.715,5.040
162,4.715,5.055
163,4.725,5.045
164,4.715,5.040
165,4.705,5.045
166,4.720,5.060
167,4.720,5.060
168,4.720,5.055
169,4.710,5.055
170,4.715,5.065
171,4.715,5.070
172,4.705,5.050
173,4.675,5.050
174,4.610,5.065
175,4.580,5.065
176,4.545,5.015
177,4.625,5.040
178,4.785,5.095
179,5.135,5.190
180,5.665,5.390
181,6.185,5.700
182,6.645,6.050
183,6.920,6.385
184,6.925,6.550
185,6.530,6.420
186,5.825,6.000
187,5.150,5.390
188,4.740,4.865
189,4.600,4.645
190,4.615,4.680
191,4.715,4.820
192,4.805,4.970
193,4.805,5.075
194,4.755,5.100
195,4.745,5.105
196,4.740,5.085
197,4.730,5.080
198,4.700,5.070
199,4.690,5.075
200,4.685,5.080
201,4.680,5.060
202,4.660,5.050
203,4.660,5.065
204,4.670,5.070
205,4.660,5.060
206,4.645,5.060
207,4.650,5.070
208,4.660,5.070
209,4.655,5.060
210,4.650,5.060
211,4.650,5.070
212,4.645,5.090
213,4.645,5.075
214,4.655,5.070
215,4.640,5.075
216,4.660,5.095
217,4.670,5.095
218,4.665,5.080
219,4.655,5.080
220,4.685,5.090
221,4.685,5.100
222,4.685,5.100
223,4.680,5.100
224,4.700,5.120
225,4.710,5.125
226,4.730,5.120
227,4.720,5.115
228,4.735,5.130
229,4.765,5.155
230,4.780,5.155
231,4.780,5.145
232,4.800,5.175
233,4.835,5.190
234,4.855,5.180
235,4.870,5.195
236,4.905,5.225
237,4.940,5.260
238,4.975,5.265
239,4.990,5.275
240,5.010,5.290
241,5.050,5.320
242,5.080,5.325
243,5.090,5.335
244,5.120,5.350
245,5.150,5.380
246,5.180,5.395
247,5.175,5.385
248,5.190,5.395
249,5.215,5.410
250,5.225,5.420
251,5.230,5.420
252,5.220,5.420
253,5.220,5.425
254,5.215,5.425
255,5.200,5.405
256,5.170,5.390
257,5.150,5.380
258,5.125,5.375
259,5.095,5.345
260,5.045,5.320
261,5.010,5.295
262,4.985,5.285
263,4.950,5.245
264,4.905,5.220
265,4.875,5.195
266,4.860,5.190
267,4.850,5.160
268,4.820,5.135
269,4.805,5.115
270,4.800,5.125
271,4.810,5.115
272,4.785,5.095
273,4.775,5.085
274,4.780,5.095
275,4.790,5.105
276,4.785,5.075
277,4.775,5.060
278,4.775,5.070
279,4.775,5.080
280,4.775,5.075
281,4.770,5.060
282,4.770,5.065
283,4.790,5.075
284,4.790,5.070
285,4.790,5.070
286,4.790,5.075
287,4.800,5.095
288,4.805,5.080
289,4.800,5.075
290,4.795,5.070
291,4.810,5.105
292,4.820,5.115
293,4.815,5.085
294,4.800,5.095
295,4.810,5.095
296,4.825,5.095
297,4.825,5.100
298,4.805,5.100
299,4.815,5.110
300,4.825,5.110
301,4.820,5.100
302,4.810,5.095
303,4.810,5.100
304,4.820,5.105
305,4.820,5.095
306,4.800,5.080
307,4.790,5.100
308,4.805,5.090
309,4.810,5.085
310,4.795,5.070
311,4.785,5.075
312,4.795,5.085
313,4.790,5.075
314,4.790,5.055
315,4.775,5.055
316,4.775,5.065
317,4.780,5.060
318,4.775,5.050
319,4.765,5.045
320,4.770,5.045
321,4.775,5.040
322,4.775,5.025
323,4.745,5.015
324,4.755,5.025
325,4.760,5.035
326,4.755,5.020
327,4.745,5.010
328,4.735,5.005
329,4.745,5.015
330,4.745,5.005
331,4.730,5.005
332,4.740,5.005
333,4.740,5.015
334,4.745,5.005
335,4.730,4.990
336,4.720,4.990
337,4.745,5.005
338,4.740,5.000
339,4.735,4.985
340,4.725,4.980
341,4.725,5.000
342,4.735,5.000
343,4.740,4.990
344,4.735,4.980
345,4.755,4.990
346,4.765,4.995
347,4.785,4.995
348,4.805,4.990
349,4.810,5.000
350,4.810,5.010
351,4.805,4.990
352,4.815,4.995
353,4.835,5.005
354,4.850,5.010
355,4.860,4.990
356,4.850,4.985
357,4.855,5.000
358,4.870,5.010
359,4.860,5.000
360,4.840,4.985
361,4.810,4.970
362,4.810,4.970
363,4.805,4.950
364,4.810,4.935
365,4.805,4.960
366,4.820,5.005
367,4.795,5.010
368,4.770,5.005
369,4.745,5.005
370,4.740,5.005
371,4.730,5.000
372,4.715,4.980
373,4.700,4.975
374,4.690,4.970
375,4.695,4.975
376,4.680,4.960
377,4.670,4.955
378,4.670,4.965
379,4.680,4.965
380,4.680,4.965
381,4.670,4.965
382,4.665,4.975
383,4.670,4.980
384,4.675,4.975
385,4.670,4.960
386,4.665,4.960
387,4.685,4.980
388,4.680,4.975
389,4.655,4.970
390,4.575,4.970
391,4.500,4.950
392,4.505,4.935
393,4.580,4.955
394,4.725,5.000
395,5.100,5.115
396,5.665,5.355
397,6.235,5.680
398,6.680,6.045
399,6.920,6.375
400,6.960,6.455
401,6.235,6.130
402,5.390,5.475
403,4.790,4.860
404,4.590,4.575
405,4.585,4.580
406,4.665,4.735
407,4.765,4.920
408,4.765,5.015
409,4.730,5.015
410,4.705,4.990
411,4.705,4.990
412,4.710,5.000
413,4.675,4.990
414,4.645,4.970
415,4.625,4.960
416,4.635,4.980
417,4.635,4.970
418,4.615,4.970
419,4.605,4.965
420,4.615,4.975
421,4.625,4.980
422,4.625,4.980
423,4.610,4.975
424,4.620,4.990
425,4.625,5.000
426,4.625,4.985
427,4.615,4.970
428,4.620,4.990
429,4.635,5.005
430,4.630,5.015
431,4.635,5.000
432,4.650,5.005
433,4.650,5.020
434,4.655,5.015
435,4.655,5.010
436,4.670,5.020
437,4.690,5.045
438,4.710,5.035
439,4.710,5.035
440,4.715,5.050
441,4.740,5.080
442,4.770,5.075
443,4.785,5.085
444,4.800,5.095
445,4.840,5.135
446,4.855,5.135
447,4.885,5.145
448,4.905,5.155
449,4.940,5.185
450,4.955,5.195
451,5.020,5.235
452,5.030,5.235
453,5.055,5.260
454,5.090,5.275
455,5.110,5.290
456,5.115,5.295
457,5.145,5.320
458,5.170,5.335
459,5.190,5.335
460,5.180,5.350
461,5.185,5.350
462,5.195,5.360
463,5.185,5.350
464,5.165,5.330
465,5.135,5.315
466,5.130,5.320
467,5.115,5.295
468,5.050,5.265
469,5.020,5.240
470,5.000,5.230
471,4.975,5.205
472,4.930,5.170
473,4.890,5.145
474,4.865,5.125
475,4.860,5.120
476,4.830,5.080
477,4.805,5.065
478,4.795,5.060
479,4.790,5.055
480,4.785,5.030
481,4.765,5.010
482,4.765,5.005
483,4.775,5.005
484,4.775,5.010
485,4.770,4.995
486,4.770,5.000
487,4.780,5.015
488,4.775,5.005
489,4.770,4.980
490,4.765,4.985
491,4.780,5.000
492,4.790,5.010
493,4.785,5.005
494,4.775,4.995
495,4.780,5.010
496,4.795,5.010
497,4.785,4.995
498,4.780,4.995
499,4.795,5.025
500,4.790,5.040
501,4.805,5.020
502,4.790,5.020
503,4.785,5.025
504,4.805,5.030
505,4.810,5.010
506,4.795,5.005
507,4.800,5.010
508,4.800,5.030
509,4.805,5.025
510,4.785,5.015
511,4.790,5.025
512,4.805,5.045
513,4.795,5.020
514,4.785,5.005
515,4.785,5.010
516,4.795,5.010
517,4.805,5.015
518,4.805,5.000
519,4.775,4.985
520,4.785,4.990
521,4.785,4.975
522,4.780,4.975
523,4.770,4.960
524,4.770,4.975
525,4.765,4.980
526,4.765,4.950
527,4.750,4.940
528,4.755,4.960
529,4.755,4.960
530,4.755,4.945
531,4.735,4.930
532,4.740,4.935
533,4.750,4.935
534,4.745,4.930
535,4.735,4.915
536,4.725,4.925
537,4.735,4.935
538,4.725,4.920
539,4.715,4.915
540,4.710,4.910
541,4.715,4.930
542,4.720,4.920
543,4.715,4.910
544,4.710,4.910
545,4.710,4.925
546,4.715,4.915
547,4.715,4.910
548,4.720,4.900
549,4.725,4.915
550,4.735,4.920
551,4.730,4.920
552,4.715,4.905
553,4.725,4.910
554,4.730,4.915
555,4.755,4.915
556,4.760,4.910
557,4.785,4.925
558,4.795,4.930
559,4.800,4.935
560,4.790,4.930
561,4.795,4.930
562,4.815,4.940
563,4.830,4.925
564,4.815,4.910
565,4.810,4.920
566,4.840,4.930
567,4.830,4.925
568,4.825,4.915
569,4.800,4.910
570,4.780,4.910
571,4.775,4.885
572,4.775,4.865
573,4.775,4.870
574,4.790,4.885
575,4.800,4.900
576,4.770,4.910
577,4.740,4.915
578,4.730,4.925
579,4.740,4.930
580,4.725,4.910
581,4.700,4.900
582,4.690,4.910
583,4.675,4.910
584,4.670,4.900
585,4.665,4.880
586,4.670,4.895
587,4.685,4.905
588,4.675,4.900
589,4.655,4.890
590,4.655,4.895
591,4.670,4.900
592,4.675,4.895
593,4.680,4.900
594,4.665,4.895
595,4.665,4.895
596,4.675,4.890
597,4.670,4.900
598,4.645,4.885
599,4.575,4.900
600,4.550,4.895
601,4.555,4.880
602,4.640,4.925
603,4.820,4.990
604,5.205,5.140
605,5.725,5.390
606,6.220,5.710
607,6.635,6.035
608,6.810,6.260
609,6.635,6.250
610,5.955,5.845
611,5.180,5.240
612,4.715,4.780
613,4.560,4.570
614,4.560,4.595
615,4.700,4.755
616,4.785,4.925
617,4.755,4.965
618,4.715,4.940
619,4.695,4.915
620,4.705,4.940
621,4.695,4.940
622,4.660,4.920
623,4.645,4.910
624,4.640,4.920
625,4.645,4.925
626,4.640,4.915
627,4.630,4.905
628,4.635,4.920
629,4.635,4.910
630,4.640,4.920
631,4.630,4.910
632,4.640,4.930
633,4.650,4.930
634,4.640,4.920
635,4.630,4.905
636,4.630,4.930
637,4.645,4.955
638,4.645,4.940
639,4.640,4.925
640,4.630,4.920
641,4.665,4.935
642,4.670,4.940
643,4.670,4.940
644,4.655,4.950
645,4.680,4.965
646,4.695,4.960
647,4.690,4.945
648,4.690,4.955
649,4.715,4.980
650,4.720,4.990
651,4.745,4.995
652,4.760,4.990
653,4.790,5.010
654,4.820,5.020
655,4.830,5.035
656,4.855,5.055
657,4.880,5.070
658,4.910,5.105
659,4.935,5.105
660,4.950,5.110
661,4.985,5.140
662,5.015,5.165
663,5.040,5.175
664,5.060,5.195
665,5.070,5.205
666,5.095,5.230
667,5.125,5.235
668,5.130,5.245
669,5.140,5.260
670,5.155,5.285
671,5.175,5.290
672,5.165,5.280
673,5.150,5.270
674,5.160,5.275
675,5.155,5.280
676,5.140,5.285
677,5.115,5.250
678,5.090,5.235
679,5.070,5.230
680,5.025,5.185
681,5.000,5.165
682,4.965,5.150
683,4.950,5.140
684,4.925,5.110
685,4.885,5.075
686,4.860,5.060
687,4.850,5.045
688,4.845,5.015
689,4.820,4.990
690,4.810,4.985
691,4.815,4.995
692,4.815,4.975
693,4.790,4.960
694,4.780,4.965
695,4.795,4.955
696,4.795,4.955
697,4.780,4.945
698,4.785,4.950
699,4.785,4.950
700,4.790,4.955
701,4.780,4.940
702,4.775,4.940
703,4.785,4.940
704,4.790,4.940
705,4.795,4.940
706,4.795,4.945
