ecg
141 -198 -8108 420 90 -202 -0.22 10.63
130 -217 -8092 419 67 -222 -0.23 10.63
135 -215 -8086 426 71 -210 -0.23 10.63
103 -166 -8055 430 81 -217 -0.24 10.64
94 -197 -8095 420 76 -208 -0.24 10.64
135 -199 -8063 413 81 -214 -0.24 10.64
112 -168 -8123 412 78 -217 -0.25 10.64
100 -207 -8105 429 81 -223 -0.25 10.65
143 -169 -8066 418 83 -221 -0.26 10.65
105 -192 -8072 418 76 -234 -0.26 10.65
113 -217 -8136 414 67 -224 -0.26 10.65
114 -191 -8134 417 86 -239 -0.27 10.66
108 -213 -8115 409 71 -227 -0.27 10.66
107 -225 -8087 422 76 -228 -0.28 10.66
142 -200 -8061 428 72 -208 -0.28 10.66
77 -199 -8073 419 76 -211 -0.28 10.67
85 -192 -8048 423 81 -222 -0.29 10.67
126 -194 -8088 419 70 -210 -0.29 10.67
93 -193 -8091 428 85 -222 -0.30 10.67
97 -220 -8049 425 88 -212 -0.30 10.68
107 -191 -8073 417 93 -222 -0.31 10.68
115 -205 -8108 424 77 -222 -0.31 10.68
100 -214 -8069 423 74 -211 -0.31 10.68
107 -193 -8075 429 73 -211 -0.32 10.69
95 -200 -8050 427 86 -215 -0.32 10.69
120 -182 -8088 426 73 -215 -0.32 10.69
100 -196 -8094 428 80 -215 -0.33 10.69
122 -217 -8104 419 87 -219 -0.33 10.70
111 -201 -8120 419 88 -223 -0.34 10.70
118 -212 -8141 426 86 -217 -0.34 10.70
114 -228 -8047 424 78 -225 -0.34 10.70
120 -206 -8073 420 79 -226 -0.35 10.70
106 -198 -8085 422 89 -223 -0.35 10.71
101 -210 -8085 409 85 -214 -0.36 10.71
134 -210 -8070 427 78 -223 -0.36 10.71
92 -207 -8087 416 84 -223 -0.36 10.71
113 -205 -8101 425 77 -221 -0.37 10.72
113 -187 -8073 417 84 -226 -0.37 10.72
104 -210 -8123 427 77 -216 -0.38 10.72
106 -213 -8091 429 85 -221 -0.38 10.72
116 -203 -8068 417 80 -225 -0.38 10.72
112 -208 -8087 422 74 -229 -0.39 10.73
132 -207 -8088 413 85 -218 -0.39 10.73
115 -194 -8077 425 85 -214 -0.40 10.73
105 -195 -8105 422 76 -221 -0.40 10.73
79 -185 -8073 419 85 -221 -0.40 10.74
103 -201 -8074 422 77 -213 -0.41 10.74
119 -203 -8089 422 87 -212 -0.41 10.74
122 -210 -8089 426 64 -218 -0.41 10.74
96 -205 -8081 423 68 -205 -0.42 10.74
115 -200 -8117 426 77 -222 -0.42 10.75
118 -206 -8079 419 77 -219 -0.42 10.75
122 -219 -8100 418 76 -210 -0.43 10.75
104 -220 -8061 438 72 -219 -0.43 10.75
116 -218 -8067 417 73 -226 -0.43 10.76
100 -209 -8083 418 83 -223 -0.48 10.80
100 -188 -8093 422 78 -232 -0.48 10.80
123 -193 -8097 419 71 -216 -0.48 10.80
104 -217 -8102 420 77 -229 -0.49 10.80
124 -215 -8098 423 79 -217 -0.49 10.80
106 -199 -8109 439 80 -222 -0.49 10.81
123 -204 -8077 420 71 -221 -0.50 10.81
125 -200 -8067 417 81 -211 -0.50 10.81
122 -207 -8090 432 92 -216 -0.50 10.81
104 -194 -8090 424 64 -231 -0.51 10.81
130 -204 -8082 426 80 -235 -0.51 10.81
110 -212 -8087 428 75 -202 -0.51 10.82
98 -190 -8102 432 75 -228 -0.51 10.82
89 -207 -8051 419 70 -221 -0.52 10.82
120 -221 -8109 407 75 -221 -0.52 10.82
120 -192 -8058 418 84 -212 -0.52 10.82
85 -202 -8116 417 96 -232 -0.53 10.83
106 -203 -8115 422 88 -226 -0.53 10.83
120 -209 -8101 425 82 -213 -0.54 10.83
106 -203 -8086 430 86 -233 -0.54 10.83
122 -202 -8062 413 82 -226 -0.54 10.83
104 -202 -8083 418 88 -219 -0.55 10.84
124 -208 -8089 427 83 -208 -0.55 10.84
109 -189 -8082 426 78 -217 -0.55 10.84
85 -207 -8093 426 82 -225 -0.56 10.84
121 -219 -8071 419 82 -220 -0.56 10.84
109 -204 -8078 427 87 -215 -0.56 10.85
95 -203 -8078 417 62 -221 -0.57 10.85
137 -195 -8072 424 72 -227 -0.57 10.85
119 -205 -8098 431 73 -229 -0.57 10.85
120 -202 -8061 431 77 -217 -0.58 10.85
98 -224 -8101 433 82 -221 -0.58 10.86
119 -193 -8076 413 72 -210 -0.58 10.86
85 -206 -8078 423 77 -212 -0.59 10.86
128 -212 -8102 423 74 -218 -0.59 10.86
123 -199 -8084 417 76 -218 -0.59 10.86
104 -207 -8106 415 79 -216 -0.59 10.87
121 -196 -8078 420 75 -210 -0.60 10.87
119 -209 -8073 423 83 -209 -0.60 10.87
120 -174 -8079 417 63 -228 -0.60 10.87
112 -194 -8079 425 76 -220 -0.61 10.87
111 -205 -8041 428 77 -210 -0.61 10.88
134 -207 -8082 422 74 -220 -0.61 10.88
113 -207 -8065 427 81 -224 -0.61 10.88
106 -204 -8075 425 70 -221 -0.62 10.88
118 -205 -8092 421 86 -215 -0.62 10.88
104 -220 -8109 423 86 -215 -0.62 10.88
103 -218 -8067 427 74 -218 -0.63 10.89
124 -217 -8100 421 82 -222 -0.63 10.89
113 -208 -8090 420 81 -226 -0.63 10.89
110 -194 -8046 420 70 -213 -0.64 10.89
103 -215 -8073 424 84 -231 -0.64 10.89
118 -228 -8068 427 76 -227 -0.64 10.89
105 -188 -8060 423 71 -216 -0.64 10.90
118 -191 -8071 424 83 -216 -0.65 10.90
110 -218 -8099 417 73 -212 -0.65 10.90
143 -204 -8030 414 76 -232 -0.65 10.90
116 -200 -8119 413 85 -200 -0.66 10.90
118 -222 -8084 421 81 -209 -0.66 10.90
108 -200 -8067 429 84 -232 -0.66 10.90
99 -201 -8077 427 70 -214 -0.67 10.91
103 -186 -8068 427 82 -217 -0.67 10.91
126 -192 -8096 406 64 -219 -0.67 10.91
100 -194 -8081 427 81 -221 -0.67 10.91
92 -202 -8088 427 70 -213 -0.68 10.91
101 -188 -8085 420 82 -211 -0.68 10.92
123 -217 -8069 425 90 -224 -0.68 10.92
129 -221 -8070 425 73 -220 -0.69 10.92
83 -206 -8080 424 82 -221 -0.69 10.92
142 -217 -8088 426 80 -210 -0.69 10.92
118 -214 -8119 416 71 -232 -0.70 10.92
110 -194 -8060 422 95 -229 -0.70 10.92
100 -209 -8094 425 75 -225 -0.70 10.93
124 -210 -8105 421 77 -233 -0.70 10.93
129 -190 -8097 420 75 -213 -0.71 10.93
112 -228 -8081 421 72 -213 -0.71 10.93
134 -203 -8092 426 75 -213 -0.71 10.93
103 -204 -8076 427 82 -200 -0.71 10.93
105 -211 -8060 425 85 -208 -0.72 10.94
137 -192 -8088 413 86 -222 -0.72 10.94
121 -198 -8093 418 85 -216 -0.72 10.94
105 -208 -8086 428 86 -213 -0.73 10.94
111 -211 -8119 421 78 -214 -0.73 10.94
101 -216 -8072 428 76 -209 -0.73 10.94
105 -187 -8083 428 71 -221 -0.74 10.95
112 -198 -8082 428 70 -224 -0.74 10.95
121 -218 -8104 430 81 -225 -0.74 10.95
99 -193 -8100 425 78 -223 -0.74 10.95
-1 -1 -1 421 92 -219 -0.75 10.95
110 -204 -8115 421 83 -220 -0.75 10.96
122 -232 -8102 426 72 -224 -0.75 10.96
104 -220 -8111 430 85 -216 -0.75 10.96
112 -229 -8113 430 71 -212 -0.76 10.96
86 -190 -8116 427 70 -219 -0.76 10.96
99 -207 -8095 417 86 -209 -0.76 10.96
117 -222 -8113 427 74 -216 -0.77 10.96
108 -220 -8102 427 79 -207 -0.77 10.96
124 -185 -8074 419 75 -218 -0.77 10.97
91 -202 -8057 415 80 -217 -0.77 10.97
121 -213 -8080 422 73 -218 -0.78 10.97
110 -205 -8069 425 91 -230 -0.78 10.97
127 -191 -8102 417 88 -223 -0.78 10.97
132 -202 -8075 416 64 -211 -0.78 10.97
127 -211 -8109 416 80 -213 -0.79 10.97
108 -213 -8095 420 79 -226 -0.79 10.98
140 -195 -8084 410 87 -216 -0.79 10.98
100 -202 -8081 420 86 -210 -0.80 10.98
102 -210 -8097 425 82 -220 -0.80 10.98
134 -206 -8120 423 77 -213 -0.80 10.98
82 -209 -8074 425 94 -224 -0.84 11.00
74 -201 -8103 418 79 -223 -0.84 11.00
73 -204 -8101 416 84 -231 -0.84 11.00
125 -210 -8096 424 73 -226 -0.84 11.01
102 -231 -8084 422 88 -214 -0.84 11.01
107 -216 -8067 424 82 -225 -0.85 11.01
137 -202 -8087 429 84 -227 -0.85 11.01
103 -205 -8076 418 86 -221 -0.85 11.01
86 -194 -8054 427 72 -214 -0.86 11.01
124 -179 -8075 407 81 -203 -0.86 11.01
117 -199 -8069 417 79 -207 -0.86 11.02
